Duplication	Prot-name	Plate_1536	Col_1536	Row_1536	numbloc
control	control	1	1	1	NA
control	control	1	1	2	NA
control	control	1	1	3	NA
control	control	1	1	4	NA
control	control	1	1	5	NA
control	control	1	1	6	NA
control	control	1	1	7	NA
control	control	1	1	8	NA
control	control	1	1	9	NA
control	control	1	1	10	NA
control	control	1	1	11	NA
control	control	1	1	12	NA
control	control	1	1	13	NA
control	control	1	1	14	NA
control	control	1	1	15	NA
control	control	1	1	16	NA
control	control	1	1	17	NA
control	control	1	1	18	NA
control	control	1	1	19	NA
control	control	1	1	20	NA
control	control	1	1	21	NA
control	control	1	1	22	NA
control	control	1	1	23	NA
control	control	1	1	24	NA
control	control	1	1	25	NA
control	control	1	1	26	NA
control	control	1	1	27	NA
control	control	1	1	28	NA
control	control	1	1	29	NA
control	control	1	1	30	NA
control	control	1	1	31	NA
control	control	1	1	32	NA
control	control	1	2	1	NA
control	control	1	2	2	NA
control	control	1	2	3	NA
control	control	1	2	4	NA
control	control	1	2	5	NA
control	control	1	2	6	NA
control	control	1	2	7	NA
control	control	1	2	8	NA
control	control	1	2	9	NA
control	control	1	2	10	NA
control	control	1	2	11	NA
control	control	1	2	12	NA
control	control	1	2	13	NA
control	control	1	2	14	NA
control	control	1	2	15	NA
control	control	1	2	16	NA
control	control	1	2	17	NA
control	control	1	2	18	NA
control	control	1	2	19	NA
control	control	1	2	20	NA
control	control	1	2	21	NA
control	control	1	2	22	NA
control	control	1	2	23	NA
control	control	1	2	24	NA
control	control	1	2	25	NA
control	control	1	2	26	NA
control	control	1	2	27	NA
control	control	1	2	28	NA
control	control	1	2	29	NA
control	control	1	2	30	NA
control	control	1	2	31	NA
control	control	1	2	32	NA
control	control	1	3	1	NA
control	control	1	3	2	NA
WGD	YGR108W	1	3	3	1
WGD	YGR108W	1	3	4	1
WGD	YGR209C	1	3	5	2
WGD	YGR209C	1	3	6	2
WGD	YDL204W	1	3	7	3
WGD	YDL204W	1	3	8	3
WGD	YCL037C	1	3	9	4
WGD	YCL037C	1	3	10	4
WGD	YMR198W	1	3	11	5
WGD	YMR198W	1	3	12	5
WGD	YJL116C	1	3	13	6
WGD	YJL116C	1	3	14	6
WGD	YDR223W	1	3	15	7
WGD	YDR223W	1	3	16	7
WGD	YIL079C	1	3	17	8
WGD	YIL079C	1	3	18	8
WGD	YKL050C	1	3	19	9
WGD	YKL050C	1	3	20	9
WGD	YOR204W	1	3	21	10
WGD	YOR204W	1	3	22	10
WGD	YDR223W	1	3	23	11
WGD	YDR223W	1	3	24	11
WGD	YBL089W	1	3	25	12
WGD	YBL089W	1	3	26	12
WGD	YDL048C	1	3	27	13
WGD	YDL048C	1	3	28	13
WGD	YDR213W	1	3	29	14
WGD	YDR213W	1	3	30	14
control	control	1	3	31	NA
control	control	1	3	32	NA
control	control	1	4	1	NA
control	control	1	4	2	NA
WGD	YPR119W	1	4	3	1
WGD	YPR119W	1	4	4	1
WGD	YLR043C	1	4	5	2
WGD	YLR043C	1	4	6	2
WGD	YDR233C	1	4	7	3
WGD	YDR233C	1	4	8	3
WGD	YDR515W	1	4	9	4
WGD	YDR515W	1	4	10	4
WGD	YPL253C	1	4	11	5
WGD	YPL253C	1	4	12	5
WGD	YKR042W	1	4	13	6
WGD	YKR042W	1	4	14	6
WGD	YLR223C	1	4	15	7
WGD	YLR223C	1	4	16	7
WGD	YDL175C	1	4	17	8
WGD	YDL175C	1	4	18	8
WGD	YMR031C	1	4	19	9
WGD	YMR031C	1	4	20	9
WGD	YPL119C	1	4	21	10
WGD	YPL119C	1	4	22	10
WGD	YLR223C	1	4	23	11
WGD	YLR223C	1	4	24	11
WGD	YER119C	1	4	25	12
WGD	YER119C	1	4	26	12
WGD	YLR375W	1	4	27	13
WGD	YLR375W	1	4	28	13
WGD	YLR228C	1	4	29	14
WGD	YLR228C	1	4	30	14
control	control	1	4	31	NA
control	control	1	4	32	NA
control	control	1	5	1	NA
control	control	1	5	2	NA
WGD	YFL018C	1	5	3	15
WGD	YFL018C	1	5	4	15
WGD	YDR385W	1	5	5	16
WGD	YDR385W	1	5	6	16
WGD	YCL011C	1	5	7	17
WGD	YCL011C	1	5	8	17
WGD	YDR368W	1	5	9	18
WGD	YDR368W	1	5	10	18
WGD	YDL048C	1	5	11	19
WGD	YDL048C	1	5	12	19
WGD	YLR457C	1	5	13	20
WGD	YLR457C	1	5	14	20
WGD	YBR218C	1	5	15	21
WGD	YBR218C	1	5	16	21
WGD	YJL136C	1	5	17	22
WGD	YJL136C	1	5	18	22
WGD	YDL083C	1	5	19	23
WGD	YDL083C	1	5	20	23
WGD	YDL222C	1	5	21	24
WGD	YDL222C	1	5	22	24
WGD	YER054C	1	5	23	25
WGD	YER054C	1	5	24	25
WGD	YNL307C	1	5	25	26
WGD	YNL307C	1	5	26	26
WGD	YGR209C	1	5	27	27
WGD	YGR209C	1	5	28	27
WGD	YOR153W	1	5	29	28
WGD	YOR153W	1	5	30	28
control	control	1	5	31	NA
control	control	1	5	32	NA
control	control	1	6	1	NA
control	control	1	6	2	NA
WGD	YPL017C	1	6	3	15
WGD	YPL017C	1	6	4	15
WGD	YOR133W	1	6	5	16
WGD	YOR133W	1	6	6	16
WGD	YNL004W	1	6	7	17
WGD	YNL004W	1	6	8	17
WGD	YOR120W	1	6	9	18
WGD	YOR120W	1	6	10	18
WGD	YLR375W	1	6	11	19
WGD	YLR375W	1	6	12	19
WGD	YPR174C	1	6	13	20
WGD	YPR174C	1	6	14	20
WGD	YGL062W	1	6	15	21
WGD	YGL062W	1	6	16	21
WGD	YKR057W	1	6	17	22
WGD	YKR057W	1	6	18	22
WGD	YMR143W	1	6	19	23
WGD	YMR143W	1	6	20	23
WGD	YNL194C	1	6	21	24
WGD	YNL194C	1	6	22	24
WGD	YIL045W	1	6	23	25
WGD	YIL045W	1	6	24	25
WGD	YOL128C	1	6	25	26
WGD	YOL128C	1	6	26	26
WGD	YLR043C	1	6	27	27
WGD	YLR043C	1	6	28	27
WGD	YDR406W	1	6	29	28
WGD	YDR406W	1	6	30	28
control	control	1	6	31	NA
control	control	1	6	32	NA
control	control	1	7	1	NA
control	control	1	7	2	NA
WGD	YIL105C	1	7	3	29
WGD	YIL105C	1	7	4	29
WGD	YJR148W	1	7	5	30
WGD	YJR148W	1	7	6	30
WGD	YDR077W	1	7	7	31
WGD	YDR077W	1	7	8	31
WGD	YDR099W	1	7	9	32
WGD	YDR099W	1	7	10	32
WGD	YDR066C	1	7	11	33
WGD	YDR066C	1	7	12	33
WGD	YHR123W	1	7	13	34
WGD	YHR123W	1	7	14	34
WGD	YLR457C	1	7	15	35
WGD	YLR457C	1	7	16	35
WGD	YDR379W	1	7	17	36
WGD	YDR379W	1	7	18	36
WGD	YBL075C	1	7	19	37
WGD	YBL075C	1	7	20	37
WGD	YBR089C-A	1	7	21	38
WGD	YBR089C-A	1	7	22	38
WGD	YOR016C	1	7	23	39
WGD	YOR016C	1	7	24	39
WGD	YNL298W	1	7	25	40
WGD	YNL298W	1	7	26	40
WGD	YHR123W	1	7	27	41
WGD	YHR123W	1	7	28	41
WGD	YAR002C-A	1	7	29	42
WGD	YAR002C-A	1	7	30	42
control	control	1	7	31	NA
control	control	1	7	32	NA
control	control	1	8	1	NA
control	control	1	8	2	NA
WGD	YNL047C	1	8	3	29
WGD	YNL047C	1	8	4	29
WGD	YHR208W	1	8	5	30
WGD	YHR208W	1	8	6	30
WGD	YER150W	1	8	7	31
WGD	YER150W	1	8	8	31
WGD	YER177W	1	8	9	32
WGD	YER177W	1	8	10	32
WGD	YER139C	1	8	11	33
WGD	YER139C	1	8	12	33
WGD	YNL130C	1	8	13	34
WGD	YNL130C	1	8	14	34
WGD	YPR174C	1	8	15	35
WGD	YPR174C	1	8	16	35
WGD	YOR127W	1	8	17	36
WGD	YOR127W	1	8	18	36
WGD	YER103W	1	8	19	37
WGD	YER103W	1	8	20	37
WGD	YPR052C	1	8	21	38
WGD	YPR052C	1	8	22	38
WGD	YAL007C	1	8	23	39
WGD	YAL007C	1	8	24	39
WGD	YOL113W	1	8	25	40
WGD	YOL113W	1	8	26	40
WGD	YNL130C	1	8	27	41
WGD	YNL130C	1	8	28	41
WGD	YGL002W	1	8	29	42
WGD	YGL002W	1	8	30	42
control	control	1	8	31	NA
control	control	1	8	32	NA
control	control	1	9	1	NA
control	control	1	9	2	NA
WGD	YFR015C	1	9	3	43
WGD	YFR015C	1	9	4	43
WGD	YKR089C	1	9	5	44
WGD	YKR089C	1	9	6	44
WGD	YJR127C	1	9	7	45
WGD	YJR127C	1	9	8	45
WGD	YER131W	1	9	9	46
WGD	YER131W	1	9	10	46
WGD	YDR385W	1	9	11	47
WGD	YDR385W	1	9	12	47
WGD	YIL013C	1	9	13	48
WGD	YIL013C	1	9	14	48
WGD	YGR121C	1	9	15	49
WGD	YGR121C	1	9	16	49
WGD	YGR121C	1	9	17	50
WGD	YGR121C	1	9	18	50
WGD	YFR024C-A	1	9	19	51
WGD	YFR024C-A	1	9	20	51
WGD	YLR264W	1	9	21	52
WGD	YLR264W	1	9	22	52
WGD	YMR186W	1	9	23	53
WGD	YMR186W	1	9	24	53
WGD	YER057C	1	9	25	54
WGD	YER057C	1	9	26	54
WGD	YAL056W	1	9	27	55
WGD	YAL056W	1	9	28	55
WGD	YFR015C	1	9	29	56
WGD	YFR015C	1	9	30	56
control	control	1	9	31	NA
control	control	1	9	32	NA
control	control	1	10	1	NA
control	control	1	10	2	NA
WGD	YLR258W	1	10	3	43
WGD	YLR258W	1	10	4	43
WGD	YOR081C	1	10	5	44
WGD	YOR081C	1	10	6	44
WGD	YML081W	1	10	7	45
WGD	YML081W	1	10	8	45
WGD	YGL189C	1	10	9	46
WGD	YGL189C	1	10	10	46
WGD	YOR133W	1	10	11	47
WGD	YOR133W	1	10	12	47
WGD	YOR011W	1	10	13	48
WGD	YOR011W	1	10	14	48
WGD	YPR138C	1	10	15	49
WGD	YPR138C	1	10	16	49
WGD	YPR138C	1	10	17	50
WGD	YPR138C	1	10	18	50
WGD	YHR016C	1	10	19	51
WGD	YHR016C	1	10	20	51
WGD	YOR167C	1	10	21	52
WGD	YOR167C	1	10	22	52
WGD	YPL240C	1	10	23	53
WGD	YPL240C	1	10	24	53
WGD	YIL051C	1	10	25	54
WGD	YIL051C	1	10	26	54
WGD	YOR371C	1	10	27	55
WGD	YOR371C	1	10	28	55
WGD	YLR258W	1	10	29	56
WGD	YLR258W	1	10	30	56
control	control	1	10	31	NA
control	control	1	10	32	NA
control	control	1	11	1	NA
control	control	1	11	2	NA
WGD	YDR353W	1	11	3	57
WGD	YDR353W	1	11	4	57
WGD	YDR028C	1	11	5	58
WGD	YDR028C	1	11	6	58
WGD	YBL089W	1	11	7	59
WGD	YBL089W	1	11	8	59
WGD	YJL112W	1	11	9	60
WGD	YJL112W	1	11	10	60
WGD	YBR121C	1	11	11	61
WGD	YBR121C	1	11	12	61
WGD	YER081W	1	11	13	62
WGD	YER081W	1	11	14	62
WGD	YDR463W	1	11	15	63
WGD	YDR463W	1	11	16	63
WGD	YBR140C	1	11	17	64
WGD	YBR140C	1	11	18	64
WGD	YLR270W	1	11	19	65
WGD	YLR270W	1	11	20	65
WGD	YDR247W	1	11	21	66
WGD	YDR247W	1	11	22	66
