Duplication	Prot-name	Plate_1536	Col_1536	Row_1536	numbloc
control	control	3	1	1	NA
control	control	3	1	2	NA
control	control	3	1	3	NA
control	control	3	1	4	NA
control	control	3	1	5	NA
control	control	3	1	6	NA
control	control	3	1	7	NA
control	control	3	1	8	NA
control	control	3	1	9	NA
control	control	3	1	10	NA
control	control	3	1	11	NA
control	control	3	1	12	NA
control	control	3	1	13	NA
control	control	3	1	14	NA
control	control	3	1	15	NA
control	control	3	1	16	NA
control	control	3	1	17	NA
control	control	3	1	18	NA
control	control	3	1	19	NA
control	control	3	1	20	NA
control	control	3	1	21	NA
control	control	3	1	22	NA
control	control	3	1	23	NA
control	control	3	1	24	NA
control	control	3	1	25	NA
control	control	3	1	26	NA
control	control	3	1	27	NA
control	control	3	1	28	NA
control	control	3	1	29	NA
control	control	3	1	30	NA
control	control	3	1	31	NA
control	control	3	1	32	NA
control	control	3	2	1	NA
control	control	3	2	2	NA
control	control	3	2	3	NA
control	control	3	2	4	NA
control	control	3	2	5	NA
control	control	3	2	6	NA
control	control	3	2	7	NA
control	control	3	2	8	NA
control	control	3	2	9	NA
control	control	3	2	10	NA
control	control	3	2	11	NA
control	control	3	2	12	NA
control	control	3	2	13	NA
control	control	3	2	14	NA
control	control	3	2	15	NA
control	control	3	2	16	NA
control	control	3	2	17	NA
control	control	3	2	18	NA
control	control	3	2	19	NA
control	control	3	2	20	NA
control	control	3	2	21	NA
control	control	3	2	22	NA
control	control	3	2	23	NA
control	control	3	2	24	NA
control	control	3	2	25	NA
control	control	3	2	26	NA
control	control	3	2	27	NA
control	control	3	2	28	NA
control	control	3	2	29	NA
control	control	3	2	30	NA
control	control	3	2	31	NA
control	control	3	2	32	NA
control	control	3	3	1	NA
control	control	3	3	2	NA
WGD	YLR449W	3	3	3	1
WGD	YLR449W	3	3	4	1
WGD	YML106W	3	3	5	2
WGD	YML106W	3	3	6	2
WGD	YMR230W	3	3	7	3
WGD	YMR230W	3	3	8	3
WGD	YOR316C	3	3	9	4
WGD	YOR316C	3	3	10	4
SSD	YGR130C	3	3	11	5
SSD	YGR130C	3	3	12	5
SSD	YNL329C	3	3	13	6
SSD	YNL329C	3	3	14	6
WGD	YML057W	3	3	15	7
WGD	YML057W	3	3	16	7
WGD	YML057W	3	3	17	8
WGD	YML057W	3	3	18	8
SSD	YML067C	3	3	19	9
SSD	YML067C	3	3	20	9
SSD	YGL006W	3	3	21	10
SSD	YGL006W	3	3	22	10
WGD	YML057W	3	3	23	11
WGD	YML057W	3	3	24	11
WGD	YOR316C	3	3	25	12
WGD	YOR316C	3	3	26	12
SSD	YGL006W	3	3	27	13
SSD	YGL006W	3	3	28	13
SSD	YGL006W	3	3	29	14
SSD	YGL006W	3	3	30	14
control	control	3	3	31	NA
control	control	3	3	32	NA
control	control	3	4	1	NA
control	control	3	4	2	NA
WGD	YML074C	3	4	3	1
WGD	YML074C	3	4	4	1
WGD	YMR271C	3	4	5	2
WGD	YMR271C	3	4	6	2
WGD	YOR293W	3	4	7	3
WGD	YOR293W	3	4	8	3
WGD	YMR243C	3	4	9	4
WGD	YMR243C	3	4	10	4
SSD	YLR200W	3	4	11	5
SSD	YLR200W	3	4	12	5
SSD	YKL197C	3	4	13	6
SSD	YKL197C	3	4	14	6
WGD	YLR433C	3	4	15	7
WGD	YLR433C	3	4	16	7
WGD	YLR433C	3	4	17	8
WGD	YLR433C	3	4	18	8
SSD	YAL042W	3	4	19	9
SSD	YAL042W	3	4	20	9
SSD	YGL167C	3	4	21	10
SSD	YGL167C	3	4	22	10
WGD	YLR433C	3	4	23	11
WGD	YLR433C	3	4	24	11
WGD	YMR243C	3	4	25	12
WGD	YMR243C	3	4	26	12
SSD	YGL167C	3	4	27	13
SSD	YGL167C	3	4	28	13
SSD	YGL167C	3	4	29	14
SSD	YGL167C	3	4	30	14
control	control	3	4	31	NA
control	control	3	4	32	NA
control	control	3	5	1	NA
control	control	3	5	2	NA
WGD	YNL197C	3	5	3	15
WGD	YNL197C	3	5	4	15
SSD	YDR258C	3	5	5	16
SSD	YDR258C	3	5	6	16
WGD	YLR449W	3	5	7	17
WGD	YLR449W	3	5	8	17
SSD	YNL329C	3	5	9	18
