MATa orf_name	MATa gene_name	MATa type	MATalpha orf_name	MATalpha_gene_name	MATalpha type	intensity	z-score	PPV%
YFL036W	RPO41	0	YGL107C	RMD9	0	21772	2.00012	84.5070423
YOL006C	TOP1	0	YLR045C	STU2	0	20269	2.00034	80.6034483
YBL088C	TEL1	0	YKL010C	UFD4	0	21778	2.00048	84.5070423
YLR136C	TIS11	0	YPL117C	IDI1	0	22110	2.00056	86.2745098
YER143W	DDI1	0	YDL090C	RAM1	0	20835	2.00105	80.6034483
YNR052C	POP2	0	YDR092W	UBC13	0	25467	2.00117	91.5730337
YML120C	NDI1	0	YKR084C	HBS1	0	24541	2.00163	90.6593407
YHL048W	COS8	0	YOR267C	HRK1	0	26866	2.00177	93.2926829
YKL099C	UTP11	0	YER142C	MAG1	0	25041	2.0018	91.5730337
YJR060W	CBF1	0	YNR028W	CPR8	0	20278	2.0019	80.6034483
YDL088C	ASM4	0	YNL229C	URE2	0	20217	2.0021	80.6034483
YPL202C	AFT2	0	YNL229C	URE2	0	22365	2.00219	86.2745098
YGL166W	CUP2	0	YPL117C	IDI1	0	22329	2.00237	86.2745098
YFL036W	RPO41	0	YMR264W	CUE1	0	21809	2.00239	84.5070423
YMR200W	ROT1	3	YFL003C	MSH4	0	21012	2.00251	84.5070423
YNL288W	CAF40	0	YFL055W	AGP3	0	22397	2.00274	86.2745098
YPL004C	LSP1	0	YOL100W	PKH2	0	22371	2.00284	86.2745098
YPL086C	ELP3	0	YOR298C-A	MBF1	2	23641	2.00293	89.4179894
YBL075C	SSA3	0	YKR084C	HBS1	0	25911	2.00328	91.5730337
YML120C	NDI1	0	YPL117C	IDI1	0	24589	2.00385	90.6593407
YJR070C	LIA1	0	YKL210W	UBA1	2	21723	2.00395	84.5070423
YHR115C	DMA1	0	YIL129C	TAO3	0	20497	2.00504	80.6034483
YOR140W	SFL1	0	YLR182W	SWI6	0	21111	2.00563	84.5070423
YER159C	BUR6	0	YJL034W	KAR2	0	21561	2.00567	84.5070423
YLR453C	RIF2	0	YJR150C	DAN1	0	23284	2.00596	89.4179894
YBL075C	SSA3	0	YDR034W-B	YDR034W-B	0	25982	2.00657	91.5730337
YNL323W	LEM3	0	YLR196W	PWP1	0	20936	2.00664	80.6034483
YMR139W	RIM11	0	YDR162C	NBP2	0	23359	2.00671	89.4179894
YIR038C	GTT1	0	YML058W-A	HUG1	0	20617	2.00701	80.6034483
YDR011W	SNQ2	0	YDR233C	RTN1	3	24889	2.00705	90.6593407
YNL039W	BDP1	0	YGL162W	SUT1	0	26301	2.0071	93.2926829
YIR026C	YVH1	0	YCR043C	YCR043C	0	20654	2.00757	80.6034483
YGL216W	KIP3	0	YGL252C	RTG2	0	23214	2.00762	89.4179894
YNL039W	BDP1	0	YKR076W	ECM4	1	26318	2.00788	93.2926829
YBR217W	ATG12	0	YNL229C	URE2	0	20019	2.00801	80.6034483
YER027C	GAL83	0	YNL026W	SAM50	1	26282	2.00803	93.2926829
YIR038C	GTT1	0	YFR010W	UBP6	0	20633	2.00808	80.6034483
YLR116W	MSL5	0	YDR364C	CDC40	0	23169	2.00816	89.4179894
YFL036W	RPO41	0	YGL054C	ERV14	0	21904	2.0082	84.5070423
YHR011W	DIA4	0	YLL034C	RIX7	0	20004	2.00845	80.6034483
YLL010C	PSR1	0	YKL178C	STE3	0	22072	2.00853	86.2745098
YGR229C	SMI1	0	YGL206C	CHC1	0	20027	2.00864	80.6034483
YLR332W	MID2	0	YGR130C	YGR130C	0	26230	2.00877	93.2926829
YBR016W	YBR016W	0	YCR028C-A	RIM1	0	22431	2.00903	86.2745098
YLR155C	ASP3-1	0	YBR263W	SHM1	0	20670	2.00923	80.6034483
YNL039W	BDP1	0	YDL031W	DBP10	0	26352	2.00944	93.2926829
YOR110W	TFC7	0	YOR098C	NUP1	0	20050	2.00947	80.6034483
YLR288C	MEC3	0	YDR104C	SPO71	0	20486	2.00955	80.6034483
YDR388W	RVS167	0	YDR233C	RTN1	3	20803	2.00975	80.6034483
YML021C	UNG1	0	YKR081C	RPF2	0	20540	2.00987	80.6034483
YNL039W	BDP1	0	YGR201C	YGR201C	0	26362	2.0099	93.2926829
YDR263C	DIN7	0	YKL210W	UBA1	2	21341	2.01064	84.5070423
YOL149W	DCP1	0	YDR151C	CTH1	0	20245	2.01068	80.6034483
YDL160C	DHH1	0	YBR169C	SSE2	0	20179	2.01071	80.6034483
YNL039W	BDP1	0	YOR253W	NAT5	0	26387	2.01105	93.2926829
YER027C	GAL83	0	YPR032W	SRO7	0	26352	2.01146	93.2926829
YOR110W	TFC7	0	YER142C	MAG1	0	20081	2.01163	80.6034483
YGR074W	SMD1	0	YNL229C	URE2	0	22422	2.01178	86.2745098
YNL039W	BDP1	0	YDR437W	GPI19	0	26407	2.01197	93.2926829
YBL075C	SSA3	0	YBR036C	CSG2	0	26101	2.01207	93.2926829
YDR263C	DIN7	0	YGL262W	YGL262W	0	21364	2.01216	84.5070423
YHL048W	COS8	0	YDL198C	GGC1	0	27139	2.01251	93.7106918
YKL099C	UTP11	0	YDR437W	GPI19	0	25264	2.01254	91.5730337
YER159C	BUR6	0	YBR169C	SSE2	0	21683	2.01259	84.5070423
YNL006W	LST8	0	YKR076W	ECM4	1	26203	2.01267	93.2926829
YPL006W	NCR1	0	YOL090W	MSH2	0	21084	2.0127	84.5070423
YIR038C	GTT1	0	YFL003C	MSH4	0	20704	2.01281	80.6034483
YKR039W	GAP1	3	YLR447C	VMA6	0	20039	2.01289	80.6034483
YDR129C	SAC6	0	YJL204C	RCY1	0	25150	2.01304	91.5730337
YLR155C	ASP3-1	0	YFR025C	HIS2	0	20732	2.01311	80.6034483
YHR043C	DOG2	0	YKR081C	RPF2	0	23536	2.01321	89.4179894
YLR288C	MEC3	0	YJL124C	LSM1	1	20557	2.01336	80.6034483
YGR246C	BRF1	0	YLR144C	ACF2	0	24543	2.01348	90.6593407
YNL289W	PCL1	0	YLR250W	SSP120	0	20353	2.01369	80.6034483
YBR217W	ATG12	0	YLR438W	CAR2	2	20133	2.01391	80.6034483
YDL160C	DHH1	0	YIR034C	LYS1	0	20239	2.01399	80.6034483
YML120C	NDI1	0	YIR012W	SQT1	0	24812	2.01408	90.6593407
YML021C	UNG1	0	YOR020C	HSP10	0	20604	2.01413	80.6034483
YKL164C	PIR1	0	YGL256W	ADH4	0	20879	2.01478	80.6034483
YOR010C	TIR2	0	YGL120C	PRP43	0	20705	2.01554	80.6034483
YAR018C	KIN3	0	YBL029C-A	YBL029C-A	0	21313	2.01557	84.5070423
YOL149W	DCP1	0	YKR076W	ECM4	1	20334	2.01583	80.6034483
YDR129C	SAC6	0	YER036C	ARB1	0	25205	2.01592	91.5730337
YFL036W	RPO41	0	YDL198C	GGC1	0	22036	2.01623	86.2745098
YBL075C	SSA3	0	YDR410C	STE14	0	26196	2.01645	93.2926829
YOR281C	PLP2	0	YCR028C-A	RIM1	0	20362	2.01659	80.6034483
YBR049C	REB1	0	YMR260C	TIF11	0	30032	2.01725	97.9166667
YDR005C	MAF1	0	YDR398W	UTP5	0	24449	2.01733	90.6593407
YDR263C	DIN7	0	YOR020C	HSP10	0	21444	2.01744	84.5070423
YML120C	NDI1	0	YFL003C	MSH4	0	24888	2.01754	90.6593407
YER143W	DDI1	0	YOR141C	ARP8	0	21143	2.01764	84.5070423
YPL006W	NCR1	0	YDL192W	ARF1	0	21164	2.01771	84.5070423
YJL098W	SAP185	0	YKR076W	ECM4	1	22868	2.01783	86.2745098
YPL192C	PRM3	0	YGR070W	ROM1	0	20162	2.01788	80.6034483
YKL099C	UTP11	0	YJL153C	INO1	0	25377	2.01795	91.5730337
YHR194W	MDM31	0	YGR168C	YGR168C	0	23942	2.01812	89.4179894
YDR129C	SAC6	0	YOR128C	ADE2	2	25247	2.01812	91.5730337
YMR200W	ROT1	3	YDR092W	UBC13	0	21272	2.01818	84.5070423
YNL126W	SPC98	0	YHR078W	YHR078W	1	27081	2.01853	93.7106918
YLR116W	MSL5	0	YCR057C	PWP2	0	23384	2.01871	89.4179894
YPL177C	CUP9	0	YLR045C	STU2	0	20035	2.01887	80.6034483
YDL088C	ASM4	0	YPL049C	DIG1	0	20517	2.0192	80.6034483
YHR115C	DMA1	0	YER126C	NSA2	0	20697	2.0197	80.6034483
YKL099C	UTP11	0	YOR141C	ARP8	0	25417	2.01986	91.5730337
YKR039W	GAP1	3	YFR051C	RET2	0	20164	2.02001	80.6034483
YLR116W	MSL5	0	YLR144C	ACF2	0	23413	2.02013	89.4179894
YHR194W	MDM31	0	YGL256W	ADH4	0	23982	2.02018	89.4179894
YPL004C	LSP1	0	YDR276C	PMP3	3	22727	2.02024	86.2745098
YGL166W	CUP2	0	YFR010W	UBP6	0	22639	2.02031	86.2745098
YPL070W	MUK1	0	YHR011W	DIA4	0	20352	2.02033	80.6034483
YLR116W	MSL5	0	YJL031C	BET4	0	23418	2.02037	89.4179894
YBL013W	FMT1	0	YCL056C	YCL056C	0	24154	2.02066	90.6593407
YER027C	GAL83	0	YDR092W	UBC13	0	26544	2.02083	93.2926829
YLR116W	MSL5	0	YDR092W	UBC13	0	23429	2.02091	89.4179894
YML021C	UNG1	0	YGL162W	SUT1	0	20706	2.02091	80.6034483
YNL288W	CAF40	0	YIL002C	INP51	0	22657	2.02096	86.2745098
YFL036W	RPO41	0	YJL124C	LSM1	1	22114	2.02096	86.2745098
YNL278W	CAF120	0	YJL124C	LSM1	1	20029	2.02108	80.6034483
YGR229C	SMI1	0	YBR023C	CHS3	0	20224	2.02117	80.6034483
YFL036W	RPO41	0	YGL087C	MMS2	0	22125	2.02162	86.2745098
YGR229C	SMI1	0	YEL063C	CAN1	3	20235	2.02187	80.6034483
YGL071W	AFT1	0	YOR046C	DBP5	1	26128	2.0219	93.2926829
YDL088C	ASM4	0	YJL212C	OPT1	0	20565	2.02192	80.6034483
YNL039W	BDP1	0	YCL056C	YCL056C	0	26627	2.02201	93.2926829
YNR052C	POP2	0	YDR437W	GPI19	0	25955	2.02249	91.5730337
YHR194W	MDM31	0	YDR161W	YDR161W	0	24033	2.0228	90.6593407
YPL111W	CAR1	0	YDL059C	RAD59	0	21651	2.02296	84.5070423
YHR115C	DMA1	0	YER009W	NTF2	0	20742	2.02298	80.6034483
YBR016W	YBR016W	0	YCR042C	TAF2	1	22724	2.02333	86.2745098
YNL278W	CAF120	0	YOR046C	DBP5	1	20066	2.02334	80.6034483
YBR217W	ATG12	0	YOL025W	LAG2	0	20317	2.02336	80.6034483
YMR192W	GYL1	0	YOR211C	MGM1	1	25929	2.02339	91.5730337
YGR195W	SKI6	0	YLR110C	CCW12	0	22050	2.02354	86.2745098
YGR099W	TEL2	0	YNL038W	GPI15	0	24642	2.0237	90.6593407
YDR129C	SAC6	0	YJL124C	LSM1	1	25358	2.02391	91.5730337
YML120C	NDI1	0	YER009W	NTF2	0	25042	2.02453	91.5730337
YOL017W	ESC8	0	YPL082C	MOT1	0	22849	2.02464	86.2745098
YIR038C	GTT1	0	YBR086C	IST2	3	20883	2.02466	80.6034483
YBR017C	KAP104	0	YOR393W	ERR1	0	23029	2.02474	89.4179894
YDL013W	HEX3	0	YOR046C	DBP5	1	20574	2.02497	80.6034483
YML120C	NDI1	0	YOR078W	BUD21	0	25061	2.02539	91.5730337
YBR160W	CDC28	0	YLR272C	YCS4	0	28445	2.02549	94.7712418
YNL255C	GIS2	0	YML058W-A	HUG1	0	26991	2.02552	93.2926829
YPL004C	LSP1	0	YDL122W	UBP1	3	22841	2.02575	86.2745098
YMR169C	ALD3	0	YLR181C	VTA1	0	21509	2.02619	84.5070423
YIR038C	GTT1	0	YDR092W	UBC13	0	20914	2.0267	80.6034483
YER143W	DDI1	0	YCR042C	TAF2	1	21318	2.02695	84.5070423
YFL036W	RPO41	0	YFL034W	YFL034W	0	22214	2.02699	86.2745098
YPL084W	BRO1	0	YHR078W	YHR078W	1	20637	2.02725	80.6034483
YHR115C	DMA1	0	YLR182W	SWI6	0	20802	2.02735	80.6034483
YBL088C	TEL1	0	YHR143W-A	RPC10	0	22283	2.02737	86.2745098
YDL138W	RGT2	0	YKR076W	ECM4	1	21853	2.02744	84.5070423
YDR011W	SNQ2	0	YBR068C	BAP2	0	25321	2.02744	91.5730337
YKR039W	GAP1	3	YDR346C	SVF1	0	20297	2.02753	80.6034483
YPL004C	LSP1	0	YDL204W	RTN2	0	22878	2.02754	86.2745098
YML021C	UNG1	0	YPL224C	MMT2	0	20809	2.02772	80.6034483
