"gene"	"DMSO1"	"DMSO2"	"DMSO3"	"MTX1"	"MTX2"	"MTX3"
"Q0010"	0	0	0	0	0	0
"Q0017"	0	0	0	0	0	0
"Q0032"	1	0	0	0	0	0
"Q0045"	813	536	243	647	872	281
"Q0050"	0	0	0	0	0	0
"Q0055"	0	0	0	0	0	0
"Q0060"	0	0	0	0	0	0
"Q0065"	0	0	0	0	0	0
"Q0070"	0	0	0	0	0	0
"Q0075"	0	0	0	0	0	0
"Q0080"	0	0	0	0	0	0
"Q0085"	1	0	0	0	1	2
"Q0092"	0	0	0	0	0	0
"Q0105"	0	0	1	0	0	1
"Q0110"	0	0	0	0	0	0
"Q0115"	0	0	0	0	0	0
"Q0120"	0	0	0	0	0	0
"Q0130"	2194	1399	495	1495	1535	560
"Q0140"	0	0	0	0	0	0
"Q0142"	0	0	0	0	0	0
"Q0143"	0	0	0	0	0	0
"Q0144"	0	0	0	0	0	0
"Q0160"	44	15	8	41	40	15
"Q0182"	0	1	0	0	0	1
"Q0250"	0	0	0	3	4	1
"Q0255"	0	0	0	0	0	0
"Q0275"	1	0	0	0	2	0
"Q0297"	0	0	0	0	0	0
"YAL001C"	301	249	152	403	533	531
"YAL002W"	132	141	66	332	327	342
"YAL003W"	7691	6974	4309	4732	4896	4007
"YAL004W"	0	0	0	0	6	0
"YAL005C"	20025	17554	11564	35681	37006	46069
"YAL007C"	171	126	118	132	97	86
"YAL008W"	339	370	137	345	388	472
"YAL009W"	63	60	36	67	65	97
"YAL010C"	28	38	27	44	44	57
"YAL011W"	191	161	120	347	296	329
"YAL012W"	6796	6420	4448	4408	4331	3045
"YAL013W"	597	500	324	1005	990	849
"YAL014C"	227	221	154	337	402	614
"YAL015C"	62	51	26	101	111	73
"YAL016C-A"	0	1	0	0	0	1
"YAL016C-B"	4	4	4	0	0	2
"YAL016W"	750	584	328	430	362	660
"YAL017W"	479	495	211	772	952	720
"YAL018C"	0	0	0	7	3	2
"YAL019W"	92	52	29	50	39	38
"YAL019W-A"	0	0	0	0	2	0
"YAL020C"	130	99	69	144	146	175
"YAL021C"	701	601	419	1122	1026	1038
"YAL022C"	50	33	38	140	162	141
"YAL023C"	213	144	117	191	171	220
"YAL024C"	40	58	19	65	65	58
"YAL025C"	361	398	298	289	182	158
"YAL026C"	25	14	23	16	6	15
"YAL026C-A"	0	0	1	0	0	1
"YAL027W"	82	81	65	218	245	180
"YAL028W"	39	21	20	66	105	75
"YAL029C"	215	146	86	257	247	233
"YAL030W"	1992	2064	1954	4023	4194	4989
"YAL031C"	126	86	50	96	108	139
"YAL031W-A"	0	2	1	4	0	2
"YAL032C"	102	93	69	71	71	107
"YAL033W"	188	219	100	222	169	300
"YAL034C"	412	298	114	857	1103	1130
