	complex name: list	gene id: list	data source: list	gene name: list
0	CMG-Pol epsilon complex		complex portal	
1	wodaklab complex#8	BLM3,YBL041W,YBR173C,YCR076C,YDR285W,YDR400W,YER012W,YER021W,YER094C,YFL007W,YFR050C,YGL011C,YGR135W,YGR153W,YGR253C,YIL146C,YJL001W,YKL206C,YKR039W,YLR199C,YML092C,YMR023C,YMR268C,YMR314W,YNL038W,YNL268W,YOL038W,YOR157C,YOR362C,YPL021W,YPR103W	wodaklab	ADD66,ATG32,BLM10,BLM3,ECM23,GAP1,GPI15,LYP1,MSS1,PBA1,PRE1,PRE10,PRE2,PRE3,PRE4,PRE5,PRE6,PRE7,PRE8,PRE9,PRP24,PUP1,PUP2,PUP3,RPN3,SCL1,UMP1,URH1,YCR076C,YGR153W,ZIP1
2	wodaklab complex#463	Q0060,YKL006C-A	wodaklab	AI3,SFT1
3	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO)	Q0080,Q0085,Q0130,YDR322C-A,YDR377W,YLR295C,YML081C-A,YOL077W-A,YPR020W	benchshop	ATP14,ATP17,ATP18,ATP19,ATP20,ATP6,ATP8,OLI1,TIM11
4	telomerase catalytic core complex (GO)	TLC1,YLR318W	benchshop	EST2,TLC1
5	wodaklab complex#48	YAL001C,YBL059W,YBR123C,YDR362C,YDR513W,YGR047C,YOR110W,YOR311C,YPL007C	wodaklab	DGK1,GRX2,TFC1,TFC3,TFC4,TFC6,TFC7,TFC8,YBL059W
6	Transcription factor TFIIIC complex,transcription factor TFIIIC complex	YAL001C,YBR123C,YDR362C,YGR047C,YOR110W,YPL007C	complex portal,benchshop	TFC1,TFC3,TFC4,TFC6,TFC7,TFC8
7	wodaklab complex#28	YAL002W,YCR011C,YDL077C,YDR080W,YER032W,YJL042W,YKL203C,YLR148W,YLR396C,YMR231W,YPL045W	wodaklab	ADP1,FIR1,MHP1,PEP3,PEP5,TOR2,VAM6,VPS16,VPS33,VPS41,VPS8
8	HOPS complex	YAL002W,YDL077C,YDR080W,YLR148W,YLR396C,YMR231W,YPL045W	benchshop	PEP3,PEP5,VAM6,VPS16,VPS33,VPS41,VPS8
9	CORVET complex	YAL002W,YDR495C,YLR148W,YLR396C,YMR231W,YPL045W	complex portal	PEP3,PEP5,VPS16,VPS3,VPS33,VPS8
10	wodaklab complex#105	YAL003W,YBR118W,YEL034W,YKL081W,YPL048W	wodaklab	CAM1,EFB1,HYP2,TEF2,TEF4
11	Elongation Factor eEF1 complex, variant TEF4	YAL003W,YKL081W,YKL081W,YPR080W	complex portal	EFB1,TEF1,TEF4,TEF4
12	eukaryotic translation elongation factor 1 complex	YAL003W,YKL081W,YPL048W,YPR080W	benchshop	CAM1,EFB1,TEF1,TEF4
13	Elongation Factor eEF1 complex, variant CAM1	YAL003W,YPL048W,YPL048W,YPR080W	complex portal	CAM1,CAM1,EFB1,TEF1
14	wodaklab complex#54	YAL007C,YAR002C-A,YDL018C,YDR051C,YGL200C,YHR110W,YML012W	wodaklab	DET1,EMP24,ERP1,ERP2,ERP3,ERP5,ERV25
15	EMP24 complex,Erp1-Erp2-Emp24-Erv25 p24 complex	YAL007C,YAR002C-A,YGL200C,YML012W	complex portal,benchshop	EMP24,ERP1,ERP2,ERV25
16	wodaklab complex#73	YAL008W,YAL029C,YBR130C,YGL106W,YHR001W,YKL130C	wodaklab	FUN14,MLC1,MYO4,OSH7,SHE2,SHE3
17	Nem1-Spo7 phosphatase complex,wodaklab complex#585	YAL009W,YHR004C	complex portal,wodaklab	NEM1,SPO7
18	ERMES complex	YAL010C,YAL048C,YGL219C,YLL006W,YOL009C	complex portal	GEM1,MDM10,MDM12,MDM34,MMM1
19	mitochondrial sorting and assembly machinery complex (GO)	YAL010C,YHR083W,YMR060C,YNL026W	benchshop	MDM10,SAM35,SAM37,SAM50
20	wodaklab complex#496	YAL010C,YJL066C	wodaklab	MDM10,MPM1
21	putative Mdm10-Mpm1-Tom40-Yhm2 complex	YAL010C,YJL066C,YMR203W,YMR241W	benchshop	MDM10,MPM1,TOM40,YHM2
22	Mdm10/Mdm12/Mmm1 complex (GO)	YAL010C,YLL006W,YOL009C	benchshop	MDM10,MDM12,MMM1
23	wodaklab complex#14	YAL011W,YBR231C,YCR060W,YDL002C,YDR190C,YDR334W,YDR485C,YER092W,YFL013C,YFL039C,YGL150C,YGR002C,YHR034C,YJL081C,YLR052W,YLR085C,YLR385C,YML041C,YNL059C,YNL107W,YNL215W,YOR141C,YOR363C,YPL129W,YPL235W	wodaklab	ACT1,ARP4,ARP5,ARP6,ARP8,IES1,IES2,IES3,IES5,INO80,NHP10,PIH1,PIP2,RVB1,RVB2,SWC3,SWC4,SWC5,SWC7,SWR1,TAF14,TAH1,VPS71,VPS72,YAF9
24	Swr1 chromatin remodelling complex,SWR1 complex	YAL011W,YBR231C,YDR190C,YDR334W,YDR485C,YFL039C,YGR002C,YJL081C,YLR085C,YLR385C,YLR399C,YML041C,YNL107W,YPL235W	complex portal,benchshop	ACT1,ARP4,ARP6,BDF1,RVB1,RVB2,SWC3,SWC4,SWC5,SWC7,SWR1,VPS71,VPS72,YAF9
25	Rpd3L complex	YAL013W,YBR095C,YDL076C,YDR207C,YIL084C,YMR075W,YMR263W,YNL097C,YNL330C,YOL004W,YPL139C,YPL181W	benchshop	CTI6,DEP1,PHO23,RCO1,RPD3,RXT2,RXT3,SAP30,SDS3,SIN3,UME1,UME6
26	wodaklab complex#18	YAL013W,YBR095C,YDL076C,YDR207C,YIL084C,YMR075W,YMR263W,YNL097C,YNL330C,YOL004W,YPL139C,YPL181W,YPR023C	wodaklab	CTI6,DEP1,EAF3,PHO23,RCO1,RPD3,RXT2,RXT3,SAP30,SDS3,SIN3,UME1,UME6
27	RPD3L histone deacetylase complex	YAL013W,YBR095C,YDL076C,YIL084C,YMR263W,YNL097C,YNL330C,YOL004W,YPL139C,YPL181W	complex portal	CTI6,DEP1,PHO23,RPD3,RXT2,RXT3,SAP30,SDS3,SIN3,UME1
28	wodaklab complex#247	YAL014C,YER090W,YKL211C	wodaklab	SYN8,TRP2,TRP3
29	wodaklab complex#148	YAL015C,YDL102W,YJR006W,YJR043C	wodaklab	NTG1,POL3,POL31,POL32
30	wodaklab complex#47	YAL016W,YDL134C,YDL188C,YGL190C,YLR318W,YML109W,YMR273C,YOR014W,YPR075C	wodaklab	CDC55,EST2,OPY2,PPH21,PPH22,RTS1,TPD3,ZDS1,ZDS2
31	protein phosphatase type 2A complex	YAL016W,YDL134C,YDL188C,YGL190C,YML109W,YMR273C,YOR014W	benchshop	CDC55,PPH21,PPH22,RTS1,TPD3,ZDS1,ZDS2
32	Serine/threonine-protein phosphatase PP2A variant 1	YAL016W,YDL134C,YGL190C	complex portal	CDC55,PPH21,TPD3
33	Serine/threonine-protein phosphatase PP2A variant 2	YAL016W,YDL134C,YOR014W	complex portal	PPH21,RTS1,TPD3
34	Serine/threonine-protein phosphatase PP2A variant 3	YAL016W,YDL188C,YGL190C	complex portal	CDC55,PPH22,TPD3
35	Serine/threonine-protein phosphatase PP2A variant 4	YAL016W,YDL188C,YOR014W	complex portal	PPH22,RTS1,TPD3
36	FUN30 complex	YAL019W	complex portal	FUN30
37	putative Ats1-Kti11 complex	YAL020C,YBL071W-A	benchshop	ATS1,KTI11
38	wodaklab complex#120	YAL020C,YBL071W-A,YIL103W,YKL191W	wodaklab	ATS1,DPH1,DPH2,KTI11
39	Ccr4-Not complex	YAL021C,YCR093W,YDL165W,YER068W,YGR134W,YIL038C,YNL288W,YNR052C,YPR072W	complex portal	CAF130,CAF40,CCR4,CDC36,CDC39,MOT2,NOT3,NOT5,POP2
40	CCR4-NOT complex	YAL021C,YCR093W,YER068W,YGR134W,YNL288W,YNR052C	benchshop	CAF130,CAF40,CCR4,CDC39,MOT2,POP2
41	wodaklab complex#68	YAL021C,YCR093W,YGR134W,YKL219W,YNL288W,YNR052C	wodaklab	CAF130,CAF40,CCR4,CDC39,COS9,POP2
42	wodaklab complex#315	YAL024C,YGR238C,YHR158C	wodaklab	KEL1,KEL2,LTE1
43	wodaklab complex#731	YAL026C,YBR237W	wodaklab	DRS2,PRP5
44	DRS2-CDC50 P4-ATPase complex	YAL026C,YCR094W	complex portal	CDC50,DRS2
45	SAW1-RAD1-RAD10 endonuclease complex,nucleotide-excision repair factor 1 complex,wodaklab complex#290	YAL027W,YML095C,YPL022W	complex portal,benchshop,wodaklab	RAD1,RAD10,SAW1
46	Myosin class V complex, MYO4 variant	YAL029C,YBR109C,YGL106W	complex portal	CMD1,MLC1,MYO4
47	She2-She3-Myo4 complex	YAL029C,YBR130C,YKL130C	benchshop	MYO4,SHE2,SHE3
48	myosin V complex (GO)	YAL029C,YOR326W	benchshop	MYO2,MYO4
49	SNARE complex (GO)	YAL030W,YGR009C,YPL232W	benchshop	SEC9,SNC1,SSO1
50	wodaklab complex#3	YAL032C,YBL026W,YBL074C,YBR055C,YBR065C,YBR152W,YCR063W,YCR077C,YDL030W,YDL035C,YDL043C,YDL098C,YDL160C,YDL209C,YDR364C,YDR378C,YDR416W,YDR473C,YER014W,YER029C,YER112W,YER146W,YER172C,YFL017W-A,YGL120C,YGL128C,YGR013W,YGR074W,YGR075C,YGR091W,YGR129W,YGR278W,YHR156C,YHR165C,YIR009W,YJL124C,YJL203W,YJR022W,YJR050W,YJR084W,YKL173W,YKR022C,YLL036C,YLR117C,YLR147C,YLR275W,YLR424W,YLR438C-A,YML046W,YML049C,YMR125W,YMR213W,YMR240C,YMR268C,YMR288W,YNL147W,YOR148C,YOR159C,YOR308C,YOR319W,YPL151C,YPL213W,YPR082C,YPR101W,YPR178W	wodaklab	AAR2,BRR2,BUD31,CDC40,CEF1,CLF1,CUS1,CWC2,CWC22,CWC23,DHH1,DIB1,ECM2,GPR1,HEM14,HSH155,HSH49,ISY1,LEA1,LIN1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MSL1,NTR2,PAT1,PRP11,PRP19,PRP21,PRP24,PRP3,PRP31,PRP38,PRP39,PRP4,PRP43,PRP45,PRP46,PRP6,PRP8,PRP9,RSE1,SMB1,SMD1,SMD2,SMD3,SME1,SMX2,SNT309,SNU114,SNU23,SNU66,SNU71,SPP2,SPP381,SPP382,STO1,SYF1,SYF2,YJR084W
51	PRP19-associated complex	YAL032C,YBR065C,YBR188C,YCR063W,YDL030W,YDL043C,YDL209C,YDR088C,YDR163W,YDR364C,YDR416W,YDR482C,YER013W,YER029C,YER172C,YGL128C,YGL174W,YGR074W,YGR129W,YGR278W,YHR165C,YIR005W,YIR009W,YJL203W,YJR050W,YKL095W,YKL173W,YLL036C,YLR117C,YLR147C,YLR275W,YLR323C,YML049C,YMR213W,YMR240C,YMR288W,YNL245C,YOR148C,YPL064C,YPL151C,YPL213W,YPR101W,YPR182W	complex portal	BRR2,BUD13,BUD31,CDC40,CEF1,CLF1,CUS1,CWC15,CWC2,CWC21,CWC22,CWC23,CWC24,CWC25,CWC27,ECM2,HSH155,IST3,ISY1,LEA1,MSL1,NTC20,PRP11,PRP19,PRP21,PRP22,PRP45,PRP46,PRP8,PRP9,RSE1,SLU7,SMB1,SMD1,SMD2,SMD3,SMX3,SNT309,SNU114,SPP2,SYF1,SYF2,YJU2
52	spliceosome	YAL032C,YBR065C,YCR063W,YDL209C,YDR364C,YDR416W,YGL120C,YGL128C,YGR278W,YJR050W,YLL036C,YLR117C,YLR424W,YMR213W,YPL151C,YPR101W	benchshop	BUD31,CDC40,CEF1,CLF1,CWC2,CWC22,CWC23,ECM2,ISY1,PRP19,PRP43,PRP45,PRP46,SNT309,SPP382,SYF1
53	Nucleolar ribonuclease MRP complex	YAL033W,YBL018C,YBR167C,YBR257W,YDR478W,YGR030C,YHR062C,YLR145W,YNL221C,YNL282W	complex portal	POP1,POP3,POP4,POP5,POP6,POP7,POP8,RMP1,RPP1,SNM1
54	wodaklab complex#36	YAL033W,YBL018C,YBR167C,YBR257W,YDR478W,YGR030C,YHR062C,YML031W,YNL221C,YNL282W	wodaklab	NDC1,POP1,POP3,POP4,POP5,POP6,POP7,POP8,RPP1,SNM1
55	ribonuclease MRP complex	YAL033W,YBL018C,YBR167C,YBR257W,YDR478W,YGR030C,YHR062C,YNL221C,YNL282W	benchshop	POP1,POP3,POP4,POP5,POP6,POP7,POP8,RPP1,SNM1
56	Nucleolar ribonuclease P complex	YAL033W,YBL018C,YBR167C,YBR257W,YGR030C,YHR062C,YIR015W,YNL221C,YNL282W	complex portal	POP1,POP3,POP4,POP5,POP6,POP7,POP8,RPP1,RPR2
57	wodaklab complex#74	YAL034C,YAL056W,YER110C,YOR188W,YPR174C	wodaklab	FUN19,GPB2,KAP123,MSB1,YPR174C
58	putative Fun19-Kap123 complex	YAL034C,YER110C	benchshop	FUN19,KAP123
59	Central kinetochore CTF19 complex	YAL034W-A,YBR107C,YDR254W,YDR383C,YJR135C,YLR315W,YLR381W,YPR046W	complex portal	CHL4,CTF3,IML3,MCM16,MCM22,MTW1,NKP1,NKP2
60	Nuclear MIS12/MIND complex,MIND complex,wodaklab complex#142	YAL034W-A,YIR010W,YJR112W,YPL233W	complex portal,benchshop,wodaklab	DSN1,MTW1,NNF1,NSL1
