No.	ORF	Plate	Coordinate
1	YLR106C	1	A01
2	YLR454W	1	A02
3	YJL130C	1	A03
4	YKL182W	1	A04
5	YNL339C	1	A05
6	YBR208C	1	A06
7	YNL172W	1	A07
8	YOR341W	1	A08
9	YOR326W	1	A10
10	YGL173C	1	A11
11	YDR180W	1	A12
12	YKR054C	1	B01
13	YPR117W	1	B02
14	YPL085W	1	B03
15	YJL207C	1	B04
16	YLR305C	1	B05
17	YDR545W	1	B06
18	YDL140C	1	B07
19	YDR283C	1	B08
20	YOR191W	1	B09
21	YMR247C	1	B10
22	YHR164C	1	B11
23	YGL150C	1	B12
24	YHR099W	1	C01
25	YHR165C	1	C02
26	YGR271W	1	C04
27	YIL177C	1	C05
28	YLR467W	1	C06
29	YMR229C	1	C07
30	YMR219W	1	C08
31	YCR089W	1	C09
32	YKL101W	1	C11
33	YGL197W	1	C12
34	YIL129C	1	D02
35	YER155C	1	D03
36	YNL271C	1	D04
37	YJL225C	1	D05
38	YMR306W	1	D06
39	YOR290C	1	D07
40	YGL206C	1	D08
41	YNL139C	1	D09
42	YLR247C	1	D10
43	YDR334W	1	D11
44	YKL010C	1	D12
45	YLR087C	1	E01
46	YFR019W	1	E02
47	YER172C	1	E03
48	YGR184C	1	E04
49	YPL231W	1	E05
50	YFL033C	1	E06
51	YDR141C	1	E07
52	YJR140C	1	E08
53	YNL242W	1	E09
54	YML072C	1	E10
55	YBL034C	1	E11
56	YJL095W	1	E12
57	YDL171C	1	F03
58	YLR422W	1	F04
59	YLR024C	1	F05
60	YJL109C	1	F06
61	YKR031C	1	F07
62	YOR093C	1	F08
63	YDR127W	1	F09
64	YPL167C	1	F11
65	YAL029C	1	F12
66	YDR150W	1	G01
67	YLR430W	1	G02
68	YMR207C	1	G03
69	YHR023W	1	G04
70	YHL030W	1	G05
71	YKL014C	1	G06
72	YER190W	1	G07
73	YCL014W	1	G08
74	YJR138W	1	G09
75	YOL004W	1	G10
76	YLR256W	1	G11
77	YER164W	1	G12
78	YGL195W	1	H01
79	YNL262W	1	H02
80	YBR275C	1	H04
81	YPL082C	1	H05
82	YNL297C	1	H08
83	YNR031C	1	H09
84	YPR184W	1	H10
85	YPL242C	1	H11
86	YNL102W	1	H12
87	YLL021W	2	A01
88	YDL112W	2	A02
89	YCR081W	2	A03
90	YPR164W	2	A04
91	YIL159W	2	A05
92	YAL017W	2	A06
93	YCR073C	2	A07
94	YDR159W	2	A08
95	YMR076C	2	A09
96	YLL066C	2	A11
97	YNL257C	2	A12
98	YOR116C	2	B01
99	YAL024C	2	B02
100	YDR443C	2	B03
101	YGL131C	2	B04
102	YIR019C	2	B05
103	YLR371W	2	B06
104	YDR216W	2	B07
105	YOR296W	2	B08
106	YPL137C	2	B09
107	YML081W	2	B10
108	YLL067C	2	B11
109	YEL022W	2	C01
110	YDR464W	2	C02
111	YMR259C	2	C03
112	YJL042W	2	C04
113	YOR336W	2	C05
114	YFL036W	2	C06
115	YAL063C	2	C07
116	YLR398C	2	C08
117	YLR436C	2	C09
118	YDR293C	2	C10
119	YNL273W	2	C11
120	YLR320W	2	D01
121	YLR419W	2	D02
122	YLR086W	2	D03
123	YBR115C	2	D04
124	YML049C	2	D05
125	YLR384C	2	D06
126	YJR092W	2	D07
127	YKL215C	2	D08
128	YDL195W	2	D09
129	YOR227W	2	D10
130	YGL251C	2	D11
131	YCR033W	2	D12
132	YGR116W	2	E01
133	YMR280C	2	E02
134	YMR176W	2	E03
135	YLR466W	2	E04
136	YIL126W	2	E05
137	YHR080C	2	E06
138	YPL016W	2	E07
139	YDL019C	2	E08
140	YOR124C	2	E09
141	YDR104C	2	E10
142	YMR190C	2	F01
143	YPR189W	2	F02
144	YJR031C	2	F03
145	YBL047C	2	F04
146	YDR227W	2	F05
147	YLR278C	2	F06
148	YNL250W	2	F07
149	YOR330C	2	F08
150	YKL129C	2	F09
151	YBL007C	2	F10
152	YFR016C	2	F11
153	YFL008W	2	F12
154	YJR137C	2	G01
155	YER093C	2	G02
156	YCR042C	2	G03
157	YJR127C	2	G04
158	YGR061C	2	G05
159	YOL138C	2	G06
160	YDR217C	2	G07
161	YEL077C	2	G08
162	YMR128W	2	G09
163	YDR097C	2	G10
164	YJL074C	2	G11
165	YDR335W	2	G12
166	YDR326C	2	H01
167	YNL088W	2	H02
168	YML133C	2	H03
169	YGR270W	2	H04
170	YDR301W	2	H05
171	YBR081C	2	H06
172	YLR425W	2	H07
173	YGL133W	2	H09
174	YNL091W	2	H10
175	YMR304W	2	H11
176	YOR151C	2	H12
177	YOR396W	3	A01
178	YML091C	3	A02
179	YOR086C	3	A03
180	YOL078W	3	A04
181	YJR151C	3	A05
182	YGR097W	3	A06
183	YOR188W	3	A07
184	YML104C	3	A08
185	YIL151C	3	A09
186	YER110C	3	A10
187	YPL216W	3	A11
188	YBR150C	3	A12
189	YPL110C	3	B01
190	YLR189C	3	B02
191	YNL106C	3	B03
192	YJL092W	3	B04
