YAL029C	MYO4
YAL037W	YAL037W
YAL062W	GDH3
YAR002C-A	ERP1
YAR042W	SWH1
YBL002W	HTB2
YBL039C	URA7
YBL052C	SAS3
YBL054W	TOD6
YBL056W	PTC3
YBL079W	NUP170
YBL106C	SRO77
YBR001C	NTH2
YBR005W	RCR1
YBR016W	YBR016W
YBR054W	YRO2
YBR082C	UBC4
YBR147W	RTC2
YBR161W	CSH1
YBR172C	SMY2
YBR177C	EHT1
YBR199W	KTR4
YBR201W	DER1
YBR205W	KTR3
YBR210W	ERV15
YBR214W	SDS24
YBR218C	PYC2
YBR238C	YBR238C
YBR242W	YBR242W
YBR244W	GPX2
YBR267W	REI1
YCL011C	GBP2
YCL024W	KCC4
YCL035C	GRX1
YCL037C	SRO9
YCL040W	GLK1
YCL050C	APA1
YCR005C	CIT2
YCR021C	HSP30
YCR060W	TAH1
YCR073W-A	SOL2
YDL012C	YDL012C
YDL019C	OSH2
YDL022W	GPD1
YDL042C	SIR2
YDL054C	MCH1
YDL131W	LYS21
YDL182W	LYS20
YDL224C	WHI4
YDR001C	NTH1
YDR003W	RCR2
YDR059C	UBC5
YDR077W	SED1
YDR093W	DNF2
YDR099W	BMH2
YDR107C	TMN2
YDR132C	YDR132C
YDR146C	SWI5
YDR151C	CTH1
YDR222W	YDR222W
YDR224C	HTB1
YDR251W	PAM1
YDR264C	AKR1
YDR272W	GLO2
YDR273W	DON1
YDR276C	PMP3
YDR300C	PRO1
YDR304C	CPR5
YDR312W	SSF2
YDR319C	YFT2
YDR353W	TRR1
YDR358W	GGA1
YDR379W	RGA2
YDR395W	SXM1
YDR399W	HPT1
YDR411C	DFM1
YDR423C	CAD1
YDR436W	PPZ2
YDR438W	THI74
YDR441C	APT2
YDR483W	KRE2
YDR497C	ITR1
YDR502C	SAM2
YDR505C	PSP1
YDR507C	GIN4
YDR513W	GRX2
YDR515W	SLF1
YDR516C	EMI2
YDR530C	APA2
YEL022W	GEA2
YEL047C	FRD1
YEL060C	PRB1
YEL066W	HPA3
YER017C	AFG3
YER027C	GAL83
YER048C	CAJ1
YER057C	HMF1
YER062C	GPP2
YER067W	RGI1
YER081W	SER3
YER088C	DOT6
YER089C	PTC2
YER105C	NUP157
YER150W	SPI1
YER166W	DNF1
YER177W	BMH1
YFL004W	VTC2
YFL011W	HXT10
YFL048C	EMP47
YFR013W	IOC3
YFR014C	CMK1
YFR015C	GSY1
YFR024C-A	LSB3
YFR040W	SAP155
YFR053C	HXK1
YGL002W	ERP6
YGL054C	ERV14
YGL056C	SDS23
YGL062W	PYC1
YGL082W	YGL082W
YGL084C	GUP1
YGL101W	YGK1
YGL107C	RMD9
YGL126W	SCS3
YGL139W	FLC3
YGL158W	RCK1
YGL208W	SIP2
YGL216W	KIP3
YGL229C	SAP4
YGL253W	HXK2
YGR008C	STF2
YGR010W	NMA2
YGR038W	ORM1
YGR043C	NQM1
YGR092W	DBF2
YGR123C	PPT1
YGR124W	ASN2
YGR131W	FHN1
YGR136W	LSB1
YGR138C	TPO2
YGR177C	ATF2
YGR221C	TOS2
YGR238C	KEL2
YGR241C	YAP1802
YGR248W	SOL4
YGR254W	ENO1
YGR273C	YGR273C
YGR280C	PXR1
YHL003C	LAG1
YHL034C	SBP1
YHR009C	TDA3
YHR016C	YSC84
YHR030C	SLT2
YHR033W	YHR033W
YHR047C	AAP1
YHR052W	CIC1
YHR057C	CPR2
YHR066W	SSF1
YHR106W	TRR2
YHR108W	GGA2
YHR115C	DMA1
YHR117W	TOM71
YHR132W-A	IGO2
YHR133C	NSG1
YHR146W	CRP1
YHR149C	SKG6
YHR158C	KEL1
YHR161C	YAP1801
YHR163W	SOL3
YHR174W	ENO2
YHR207C	SET5
YIL038C	NOT3
YIL051C	MMF1
YIL053W	GPP1
YIL057C	RGI2
YIL074C	SER33
YIL109C	SEC24
YIL114C	POR2
YIL123W	SIM1
YIL135C	VHS2
YIR004W	DJP1
YIR037W	HYR1
YJL076W	NET1
YJL082W	IML2
YJL133W	MRS3
YJL151C	SNA3
YJR031C	GEA1
YJR051W	OSM1
YJR103W	URA8
YJR132W	NMD5
YJR133W	XPT1
YKL008C	LAC1
YKL043W	PHD1
YKL062W	MSN4
YKL065C	YET1
YKL079W	SMY1
YKL091C	YKL091C
YKL127W	PGM1
YKL157W	APE2
YKL161C	KDX1
YKL163W	PIR3
YKL164C	PIR1
YKL187C	FAT3
YKL211C	TRP3
YKR010C	TOF2
YKR018C	YKR018C
YKR052C	MRS4
YKR060W	UTP30
YLL012W	YEH1
YLL028W	TPO1
YLL046C	RNP1
YLR020C	YEH2
YLR025W	SNF7
YLR028C	ADE16
YLR080W	EMP46
YLR083C	EMP70
YLR108C	YLR108C
YLR131C	ACE2
YLR136C	TIS11
YLR177W	YLR177W
YLR180W	SAM1
YLR187W	SKG3
YLR225C	YLR225C
YLR248W	RCK2
YLR249W	YEF3
YLR258W	GSY2
YLR260W	LCB5
YLR270W	DCS1
YLR327C	TMA10
YLR328W	NMA1
YLR350W	ORM2
YLR354C	TAL1
YLR387C	REH1
YLR413W	INA1
YLR432W	IMD3
YLR433C	CNA1
YLR449W	FPR4
YLR450W	HMG2
YML007W	YAP1
YML011C	RAD33
YML016C	PPZ1
YML018C	YML018C
YML022W	APT1
YML056C	IMD4
YML057W	CMP2
YML074C	FPR3
YML075C	HMG1
YML085C	TUB1
YML100W	TSL1
YML101C	CUE4
YML106W	URA5
YML117W	NAB6
YML124C	TUB3
YMR011W	HXT2
YMR016C	SOK2
YMR037C	MSN2
YMR040W	YET2
YMR077C	VPS20
YMR079W	SEC14
YMR089C	YTA12
YMR105C	PGM2
YMR120C	ADE17
YMR155W	YMR155W
YMR186W	HSC82
YMR192W	GYL1
YMR222C	FSH2
YMR237W	BCH1
YMR243C	ZRC1
YMR246W	FAA4
YMR261C	TPS3
YMR264W	CUE1
YMR265C	YMR265C
YMR269W	TMA23
YMR271C	URA10
YMR295C	YMR295C
YNL004W	HRB1
YNL014W	HEF3
YNL049C	SFB2
YNL055C	POR1
YNL066W	SUN4
YNL074C	MLF3
YNL087W	TCB2
YNL116W	DMA2
YNL121C	TOM70
YNL156C	NSG2
YNL157W	IGO1
YNL173C	MDG1
YNL197C	WHI3
YNL231C	PDR16
YNL264C	PDR17
YNL278W	CAF120
YNR033W	ABZ1
YNR034W	SOL1
YOL016C	CMK2
YOL017W	ESC8
YOL059W	GPD2
YOL068C	HST1
YOL092W	YPQ1
YOL103W	ITR2
YOR003W	YSP3
YOR034C	AKR2
YOR040W	GLO4
YOR042W	CUE5
YOR086C	TCB1
YOR099W	KTR1
YOR127W	RGA1
YOR171C	LCB4
YOR173W	DCS2
YOR226C	ISU2
YOR227W	HER1
YOR229W	WTM2
YOR237W	HES1
YOR244W	ESA1
YOR273C	TPO4
YOR280C	FSH3
YOR299W	BUD7
YOR316C	COT1
YOR317W	FAA1
YOR326W	MYO2
YOR342C	YOR342C
YOR375C	GDH1
YOR377W	ATF1
YPL019C	VTC3
YPL032C	SVL3
YPL057C	SUR1
YPL095C	EEB1
YPL105C	SYH1
YPL135W	ISU1
YPL137C	GIP3
YPL139C	UME1
YPL145C	KES1
YPL165C	SET6
YPL189W	GUP2
YPL191C	YPL191C
YPL221W	FLC1
YPL240C	HSP82
YPL249C	GYP5
YPR001W	CIT3
YPR032W	SRO7
YPR072W	NOT5
YPR111W	DBF20
YPR145W	ASN1
YPR149W	NCE102
YPR154W	PIN3
YPR156C	TPO3
YPR193C	HPA2
