Gene	ORF	Known	Novel	GFP localizationa	Overlap of BiFC with GFP	BiFC intensity
AAT2	YLR027C	_		cytoplasm	same	1 027 526 
ABP140	YOR239W	_		actin*	same	2 296 166 
ACO2	YJL200C	_		mitochondrion	same	1 793 338 
ACS1	YAL054C	_		cytoplasm, nucleus	same	2 278 109 
ALD6	YPL061W	_		cytoplasm, nucleus	same	20 621 325 
ANY1	YMR010W	_		punctate, early Golgi	same	2 854 989 
APL4	YPR029C	_		punctate	same	1 911 197 
APL6	YGR261C	_		punctate, Golgi, early Golgi	same	1 746 203 
ATP10	YLR393W	_		mitochondrion	same	1 621 670 
BCP1	YDR361C	_		cytoplasm, nucleus	same	1 296 963 
CPR1	YDR155C	_		cytoplasm, nucleus	same	8 679 628 
CYS4	YGR155W	_		cytoplasm	partial	10 206 117 
DAD3	YBR233W-A	_		spindle pole	same	1 663 404 
DCP2	YNL118C	_		punctate	same	2 001 703 
DID2	YKR035W-A	_		endosome	same	897 249 
DPP1	YDR284C	_		vacuolar membrane	same	1 949 846 
EDE1	YBL047C	_		punctate	same	3 628 596 
EMP24	YGL200C	_		punctate	same	1 700 918 
ERP1	YAR002C-A	_		vacuolar membrane	same	1 317 516 
ERV25	YML012W	_		ER	same	1 950 817 
FBP1	YLR377C	_		NAb	punctate foci	2 290 528 
GCD1	YOR260W	_		cytoplasm	partial	1 525 074 
GCD11	YER025W	_		cytoplasm	same	2 165 329 
GCD6	YDR211W	_		cytoplasm	partial	1 963 410 
GIN4	YDR507C	_		bud neck, cytoplasm, bud	same	1 484 951 
GLE1	YDL207W	_		nuclear periphery	same	1 944 388 
GLK1	YCL040W	_		cytoplasm, punctate	same	1 894 332 
GLT1	YDL171C	_		ambiguous	same	3 073 160 
HOM3	YER052C	_		cytoplasm	same	2 266 853 
HSP42	YDR171W	_		cytoplasm	same	1 531 958 
ILV1	YER086W	_		mitochondrion	same	1 891 207 
KES1	YPL145C	_		cytoplasm	partial	1 688 042 
KGD1	YIL125W	_		mitochondrion	same	2 581 085 
LOC1	YFR001W	_		nucleolus, nucleus	same	1 532 780 
LSB3	YFR024C-A	_		bud neck, cytoplasm, mitochondrion, cell periphery	same	1 868 230 
LSM1	YJL124C	_		cytoplasm	partial	683 210 
MCM1	YMR043W	_		nucleus	same	2 213 965 
MDH2	YOL126C	_		peroxisome	same	1 003 452 
MDJ1	YFL016C	_		mitochondrion	same	1 058 018 
MDV1	YJL112W	_		mitochondrion	same	1 809 308 
MEH1	YKR007W	_		vacuolar membrane	same	742 044 
