Duplication	Prot-name	Plate_1536	Col_1536	Row_1536	numbloc
NA	control	2	1	1	NA
NA	control	2	1	2	NA
NA	control	2	1	3	NA
NA	control	2	1	4	NA
NA	control	2	1	5	NA
NA	control	2	1	6	NA
NA	control	2	1	7	NA
NA	control	2	1	8	NA
NA	control	2	1	9	NA
NA	control	2	1	10	NA
NA	control	2	1	11	NA
NA	control	2	1	12	NA
NA	control	2	1	13	NA
NA	control	2	1	14	NA
NA	control	2	1	15	NA
NA	control	2	1	16	NA
NA	control	2	1	17	NA
NA	control	2	1	18	NA
NA	control	2	1	19	NA
NA	control	2	1	20	NA
NA	control	2	1	21	NA
NA	control	2	1	22	NA
NA	control	2	1	23	NA
NA	control	2	1	24	NA
NA	control	2	1	25	NA
NA	control	2	1	26	NA
NA	control	2	1	27	NA
NA	control	2	1	28	NA
NA	control	2	1	29	NA
NA	control	2	1	30	NA
NA	control	2	1	31	NA
NA	control	2	1	32	NA
NA	control	2	2	1	NA
NA	control	2	2	2	NA
NA	control	2	2	3	NA
NA	control	2	2	4	NA
NA	control	2	2	5	NA
NA	control	2	2	6	NA
NA	control	2	2	7	NA
NA	control	2	2	8	NA
NA	control	2	2	9	NA
NA	control	2	2	10	NA
NA	control	2	2	11	NA
NA	control	2	2	12	NA
NA	control	2	2	13	NA
NA	control	2	2	14	NA
NA	control	2	2	15	NA
NA	control	2	2	16	NA
NA	control	2	2	17	NA
NA	control	2	2	18	NA
NA	control	2	2	19	NA
NA	control	2	2	20	NA
NA	control	2	2	21	NA
NA	control	2	2	22	NA
NA	control	2	2	23	NA
NA	control	2	2	24	NA
NA	control	2	2	25	NA
NA	control	2	2	26	NA
NA	control	2	2	27	NA
NA	control	2	2	28	NA
NA	control	2	2	29	NA
NA	control	2	2	30	NA
NA	control	2	2	31	NA
NA	control	2	2	32	NA
NA	control	2	3	1	NA
NA	control	2	3	2	NA
WGD	YMR183C	2	3	3	1
WGD	YMR183C	2	3	4	1
SSD	YGR002C	2	3	5	2
SSD	YGR002C	2	3	6	2
SSD	YDR314C	2	3	7	3
SSD	YDR314C	2	3	8	3
SSD	YBL103C	2	3	9	4
SSD	YBL103C	2	3	10	4
SSD	YKL124W	2	3	11	5
SSD	YKL124W	2	3	12	5
WGD	YER067W	2	3	13	6
WGD	YER067W	2	3	14	6
SSD	YKL171W	2	3	15	7
SSD	YKL171W	2	3	16	7
SSD	YBR276C	2	3	17	8
SSD	YBR276C	2	3	18	8
SSD	YGR240C	2	3	19	9
SSD	YGR240C	2	3	20	9
WGD	YHR146W	2	3	21	10
WGD	YHR146W	2	3	22	10
WGD	YGR004W	2	3	23	11
WGD	YGR004W	2	3	24	11
SSD	YPL138C	2	3	25	12
SSD	YPL138C	2	3	26	12
SSD	YER184C	2	3	27	13
SSD	YER184C	2	3	28	13
SSD	YMR054W	2	3	29	14
SSD	YMR054W	2	3	30	14
NA	control	2	3	31	NA
NA	control	2	3	32	NA
NA	control	2	4	1	NA
NA	control	2	4	2	NA
WGD	YPL232W	2	4	3	1
WGD	YPL232W	2	4	4	1
SSD	YFR034C	2	4	5	2
SSD	YFR034C	2	4	6	2
SSD	YER162C	2	4	7	3
SSD	YER162C	2	4	8	3
SSD	YJR060W	2	4	9	4
SSD	YJR060W	2	4	10	4
SSD	YMR171C	2	4	11	5
SSD	YMR171C	2	4	12	5
WGD	YIL057C	2	4	13	6
WGD	YIL057C	2	4	14	6
SSD	YCL024W	2	4	15	7
SSD	YCL024W	2	4	16	7
SSD	YNL128W	2	4	17	8
SSD	YNL128W	2	4	18	8
SSD	YMR205C	2	4	19	9
SSD	YMR205C	2	4	20	9
WGD	YNL173C	2	4	21	10
WGD	YNL173C	2	4	22	10
WGD	YLR324W	2	4	23	11
WGD	YLR324W	2	4	24	11
SSD	YKR029C	2	4	25	12
SSD	YKR029C	2	4	26	12
SSD	YBL005W	2	4	27	13
SSD	YBL005W	2	4	28	13
SSD	YOR270C	2	4	29	14
SSD	YOR270C	2	4	30	14
NA	control	2	4	31	NA
NA	control	2	4	32	NA
NA	control	2	5	1	NA
NA	control	2	5	2	NA
SSD	YHR198C	2	5	3	15
SSD	YHR198C	2	5	4	15
SSD	YDR399W	2	5	5	16
SSD	YDR399W	2	5	6	16
SSD	YJL146W	2	5	7	17
SSD	YJL146W	2	5	8	17
SSD	YJL197W	2	5	9	18
SSD	YJL197W	2	5	10	18
SSD	YCR004C	2	5	11	19
SSD	YCR004C	2	5	12	19
SSD	YBR011C	2	5	13	20
SSD	YBR011C	2	5	14	20
SSD	YDR382W	2	5	15	21
SSD	YDR382W	2	5	16	21
WGD	YDR358W	2	5	17	22
WGD	YDR358W	2	5	18	22
SSD	YNL231C	2	5	19	23
SSD	YNL231C	2	5	20	23
SSD	YMR054W	2	5	21	24
SSD	YMR054W	2	5	22	24
SSD	YPR013C	2	5	23	25
SSD	YPR013C	2	5	24	25
SSD	YGR240C	2	5	25	26
SSD	YGR240C	2	5	26	26
SSD	YOR241W	2	5	27	27
SSD	YOR241W	2	5	28	27
SSD	YPL203W	2	5	29	28
SSD	YPL203W	2	5	30	28
NA	control	2	5	31	NA
NA	control	2	5	32	NA
NA	control	2	6	1	NA
NA	control	2	6	2	NA
SSD	YHR199C	2	6	3	15
SSD	YHR199C	2	6	4	15
SSD	YJR133W	2	6	5	16
SSD	YJR133W	2	6	6	16
SSD	YBL085W	2	6	7	17
SSD	YBL085W	2	6	8	17
SSD	YER144C	2	6	9	18
SSD	YER144C	2	6	10	18
SSD	YDR032C	2	6	11	19
SSD	YDR032C	2	6	12	19
SSD	YMR267W	2	6	13	20
SSD	YMR267W	2	6	14	20
SSD	YOL039W	2	6	15	21
SSD	YOL039W	2	6	16	21
WGD	YHR108W	2	6	17	22
WGD	YHR108W	2	6	18	22
SSD	YNL264C	2	6	19	23
SSD	YNL264C	2	6	20	23
SSD	YOR270C	2	6	21	24
SSD	YOR270C	2	6	22	24
SSD	YPR015C	2	6	23	25
SSD	YPR015C	2	6	24	25
SSD	YMR205C	2	6	25	26
SSD	YMR205C	2	6	26	26
SSD	YMR113W	2	6	27	27
SSD	YMR113W	2	6	28	27
SSD	YKL166C	2	6	29	28
SSD	YKL166C	2	6	30	28
NA	control	2	6	31	NA
NA	control	2	6	32	NA
NA	control	2	7	1	NA
NA	control	2	7	2	NA
SSD	YBR244W	2	7	3	29
SSD	YBR244W	2	7	4	29
WGD	YDR151C	2	7	5	30
WGD	YDR151C	2	7	6	30
SSD	YPR189W	2	7	7	31
SSD	YPR189W	2	7	8	31
SSD	YDL104C	2	7	9	32
SSD	YDL104C	2	7	10	32
WGD	YHR030C	2	7	11	33
WGD	YHR030C	2	7	12	33
SSD	YDR074W	2	7	13	34
SSD	YDR074W	2	7	14	34
SSD	YBR059C	2	7	15	35
SSD	YBR059C	2	7	16	35
SSD	YJL190C	2	7	17	36
SSD	YJL190C	2	7	18	36
SSD	YLR455W	2	7	19	37
SSD	YLR455W	2	7	20	37
SSD	YNR013C	2	7	21	38
SSD	YNR013C	2	7	22	38
SSD	YDL171C	2	7	23	39
SSD	YDL171C	2	7	24	39
SSD	YHR040W	2	7	25	40
SSD	YHR040W	2	7	26	40
SSD	YHR043C	2	7	27	41
SSD	YHR043C	2	7	28	41
SSD	YDR109C	2	7	29	42
SSD	YDR109C	2	7	30	42
NA	control	2	7	31	NA
NA	control	2	7	32	NA
NA	control	2	8	1	NA
NA	control	2	8	2	NA
SSD	YIR037W	2	8	3	29
SSD	YIR037W	2	8	4	29
WGD	YLR136C	2	8	5	30
WGD	YLR136C	2	8	6	30
SSD	YHR117W	2	8	7	31
SSD	YHR117W	2	8	8	31
SSD	YKR038C	2	8	9	32
SSD	YKR038C	2	8	10	32
WGD	YKL161C	2	8	11	33
WGD	YKL161C	2	8	12	33
SSD	YMR261C	2	8	13	34
SSD	YMR261C	2	8	14	34
SSD	YIL095W	2	8	15	35
SSD	YIL095W	2	8	16	35
SSD	YLR367W	2	8	17	36
SSD	YLR367W	2	8	18	36
SSD	YMR044W	2	8	19	37
SSD	YMR044W	2	8	20	37
SSD	YCR037C	2	8	21	38
SSD	YCR037C	2	8	22	38
SSD	YDR376W	2	8	23	39
SSD	YDR376W	2	8	24	39
SSD	YJR055W	2	8	25	40
SSD	YJR055W	2	8	26	40
SSD	YHR044C	2	8	27	41
SSD	YHR044C	2	8	28	41
SSD	YNL249C	2	8	29	42
SSD	YNL249C	2	8	30	42
NA	control	2	8	31	NA
NA	control	2	8	32	NA
NA	control	2	9	1	NA
NA	control	2	9	2	NA
SSD	YPR013C	2	9	3	43
SSD	YPR013C	2	9	4	43
SSD	YDL113C	2	9	5	44
SSD	YDL113C	2	9	6	44
WGD	YJL076W	2	9	7	45
WGD	YJL076W	2	9	8	45
SSD	YBL103C	2	9	9	46
SSD	YBL103C	2	9	10	46
SSD	YFL054C	2	9	11	47
SSD	YFL054C	2	9	12	47
SSD	YPL203W	2	9	13	48
SSD	YPL203W	2	9	14	48
SSD	YEL025C	2	9	15	49
SSD	YEL025C	2	9	16	49
SSD	YBL058W	2	9	17	50
SSD	YBL058W	2	9	18	50
SSD	YGL143C	2	9	19	51
SSD	YGL143C	2	9	20	51
SSD	YER092W	2	9	21	52
SSD	YER092W	2	9	22	52
