Duplication	Prot-emptyme	Plate_1536	Col_1536	Row_1536	numbloc
empty	empty	4	1	1	NA
empty	empty	4	1	2	NA
empty	empty	4	1	3	NA
empty	empty	4	1	4	NA
empty	empty	4	1	5	NA
empty	empty	4	1	6	NA
empty	empty	4	1	7	NA
empty	empty	4	1	8	NA
empty	empty	4	1	9	NA
empty	empty	4	1	10	NA
empty	empty	4	1	11	NA
empty	empty	4	1	12	NA
empty	empty	4	1	13	NA
empty	empty	4	1	14	NA
empty	empty	4	1	15	NA
empty	empty	4	1	16	NA
empty	empty	4	1	17	NA
empty	empty	4	1	18	NA
empty	empty	4	1	19	NA
empty	empty	4	1	20	NA
empty	empty	4	1	21	NA
empty	empty	4	1	22	NA
empty	empty	4	1	23	NA
empty	empty	4	1	24	NA
empty	empty	4	1	25	NA
empty	empty	4	1	26	NA
empty	empty	4	1	27	NA
empty	empty	4	1	28	NA
empty	empty	4	1	29	NA
empty	empty	4	1	30	NA
empty	empty	4	1	31	NA
empty	empty	4	1	32	NA
empty	empty	4	2	1	NA
empty	empty	4	2	2	NA
empty	empty	4	2	3	NA
empty	empty	4	2	4	NA
empty	empty	4	2	5	NA
empty	empty	4	2	6	NA
empty	empty	4	2	7	NA
empty	empty	4	2	8	NA
empty	empty	4	2	9	NA
empty	empty	4	2	10	NA
empty	empty	4	2	11	NA
empty	empty	4	2	12	NA
empty	empty	4	2	13	NA
empty	empty	4	2	14	NA
empty	empty	4	2	15	NA
empty	empty	4	2	16	NA
empty	empty	4	2	17	NA
empty	empty	4	2	18	NA
empty	empty	4	2	19	NA
empty	empty	4	2	20	NA
empty	empty	4	2	21	NA
empty	empty	4	2	22	NA
empty	empty	4	2	23	NA
empty	empty	4	2	24	NA
empty	empty	4	2	25	NA
empty	empty	4	2	26	NA
empty	empty	4	2	27	NA
empty	empty	4	2	28	NA
empty	empty	4	2	29	NA
empty	empty	4	2	30	NA
empty	empty	4	2	31	NA
empty	empty	4	2	32	NA
empty	empty	4	3	1	NA
empty	empty	4	3	2	NA
WGD	YBR089C-A	4	3	3	1
WGD	YPR052C	4	3	4	1
WGD	YDR273W	4	3	5	2
WGD	YOR042W	4	3	6	2
WGD	YDR358W	4	3	7	3
WGD	YHR108W	4	3	8	3
SSD	YGL255W	4	3	9	4
SSD	YLR130C	4	3	10	4
WGD	YER081W	4	3	11	5
WGD	YIL074C	4	3	12	5
SSD	YJL212C	4	3	13	6
SSD	YPR194C	4	3	14	6
SSD	YLR144C	4	3	15	7
SSD	YNR067C	4	3	16	7
SSD	YNL018C	4	3	17	8
SSD	YNL034W	4	3	18	8
WGD	YFL048C	4	3	19	9
WGD	YLR080W	4	3	20	9
SSD	YGL008C	4	3	21	10
SSD	YPL036W	4	3	22	10
SSD	YEL007W	4	3	23	11
SSD	YHR177W	4	3	24	11
WGD	YER131W	4	3	25	12
WGD	YGL189C	4	3	26	12
WGD	YDR093W	4	3	27	13
WGD	YER166W	4	3	28	13
SSD	YGL258W	4	3	29	14
SSD	YOR387C	4	3	30	14
empty	empty	4	3	31	NA
empty	empty	4	3	32	NA
empty	empty	4	4	1	NA
empty	empty	4	4	2	NA
WGD	YBR089C-A	4	4	3	1
WGD	YPR052C	4	4	4	1
WGD	YDR273W	4	4	5	2
WGD	YOR042W	4	4	6	2
WGD	YDR358W	4	4	7	3
WGD	YHR108W	4	4	8	3
SSD	YGL255W	4	4	9	4
SSD	YLR130C	4	4	10	4
WGD	YER081W	4	4	11	5
WGD	YIL074C	4	4	12	5
SSD	YJL212C	4	4	13	6
SSD	YPR194C	4	4	14	6
SSD	YLR144C	4	4	15	7
SSD	YNR067C	4	4	16	7
SSD	YNL018C	4	4	17	8
SSD	YNL034W	4	4	18	8
WGD	YFL048C	4	4	19	9
WGD	YLR080W	4	4	20	9
SSD	YGL008C	4	4	21	10
SSD	YPL036W	4	4	22	10
SSD	YEL007W	4	4	23	11
SSD	YHR177W	4	4	24	11
WGD	YER131W	4	4	25	12
WGD	YGL189C	4	4	26	12
WGD	YDR093W	4	4	27	13
WGD	YER166W	4	4	28	13
SSD	YGL258W	4	4	29	14
SSD	YOR387C	4	4	30	14
empty	empty	4	4	31	NA
empty	empty	4	4	32	NA
empty	empty	4	5	1	NA
empty	empty	4	5	2	NA
WGD	YDR490C	4	5	3	15
WGD	YOL100W	4	5	4	15
SSD	YBR069C	4	5	5	16
SSD	YCL025C	4	5	6	16
WGD	YDR093W	4	5	7	17
WGD	YER166W	4	5	8	17
WGD	YHL033C	4	5	9	18
WGD	YLL045C	4	5	10	18
WGD	YDL022W	4	5	11	19
WGD	YOL059W	4	5	12	19
SSD	YCR105W	4	5	13	20
SSD	YMR318C	4	5	14	20
SSD	YBR069C	4	5	15	21
SSD	YCL025C	4	5	16	21
WGD	YHL033C	4	5	17	22
WGD	YLL045C	4	5	18	22
SSD	YGL008C	4	5	19	23
SSD	YPL036W	4	5	20	23
SSD	YLR144C	4	5	21	24
SSD	YNR067C	4	5	22	24
WGD	YDR490C	4	5	23	25
WGD	YOL100W	4	5	24	25
WGD	YGR004W	4	5	25	26
WGD	YLR324W	4	5	26	26
WGD	YDR358W	4	5	27	27
WGD	YHR108W	4	5	28	27
WGD	YDL022W	4	5	29	28
WGD	YOL059W	4	5	30	28
empty	empty	4	5	31	NA
empty	empty	4	5	32	NA
empty	empty	4	6	1	NA
empty	empty	4	6	2	NA
WGD	YDR490C	4	6	3	15
WGD	YOL100W	4	6	4	15
SSD	YBR069C	4	6	5	16
SSD	YCL025C	4	6	6	16
WGD	YDR093W	4	6	7	17
WGD	YER166W	4	6	8	17
WGD	YHL033C	4	6	9	18
WGD	YLL045C	4	6	10	18
WGD	YDL022W	4	6	11	19
WGD	YOL059W	4	6	12	19
SSD	YCR105W	4	6	13	20
SSD	YMR318C	4	6	14	20
SSD	YBR069C	4	6	15	21
SSD	YCL025C	4	6	16	21
WGD	YHL033C	4	6	17	22
WGD	YLL045C	4	6	18	22
SSD	YGL008C	4	6	19	23
SSD	YPL036W	4	6	20	23
SSD	YLR144C	4	6	21	24
SSD	YNR067C	4	6	22	24
WGD	YDR490C	4	6	23	25
WGD	YOL100W	4	6	24	25
WGD	YGR004W	4	6	25	26
WGD	YLR324W	4	6	26	26
WGD	YDR358W	4	6	27	27
WGD	YHR108W	4	6	28	27
WGD	YDL022W	4	6	29	28
WGD	YOL059W	4	6	30	28
empty	empty	4	6	31	NA
empty	empty	4	6	32	NA
empty	empty	4	7	1	NA
empty	empty	4	7	2	NA
WGD	YBL075C	4	7	3	29
WGD	YER103W	4	7	4	29
SSD	YER187W	4	7	5	30
SSD	YGL262W	4	7	6	30
WGD	YJL099W	4	7	7	31
WGD	YKR027W	4	7	8	31
WGD	YBL075C	4	7	9	32
WGD	YER103W	4	7	10	32
SSD	YIL169C	4	7	11	33
SSD	YOL155C	4	7	12	33
SSD	YDR276C	4	7	13	34
SSD	YDL123W	4	7	14	34
SSD	YGL255W	4	7	15	35
SSD	YLR130C	4	7	16	35
WGD	YGR214W	4	7	17	36
WGD	YLR048W	4	7	18	36
SSD	YIR031C	4	7	19	37
SSD	YNL117W	4	7	20	37
WGD	YBR189W	4	7	21	38
WGD	YPL081W	4	7	22	38
WGD	YLR270W	4	7	23	39
WGD	YOR173W	4	7	24	39
WGD	YLR270W	4	7	25	40
WGD	YOR173W	4	7	26	40
SSD	YBR069C	4	7	27	41
SSD	YCL025C	4	7	28	41
WGD	YBR089C-A	4	7	29	42
WGD	YPR052C	4	7	30	42
empty	empty	4	7	31	NA
empty	empty	4	7	32	NA
empty	empty	4	8	1	NA
empty	empty	4	8	2	NA
WGD	YBL075C	4	8	3	29
WGD	YER103W	4	8	4	29
SSD	YER187W	4	8	5	30
SSD	YGL262W	4	8	6	30
WGD	YJL099W	4	8	7	31
WGD	YKR027W	4	8	8	31
WGD	YBL075C	4	8	9	32
WGD	YER103W	4	8	10	32
SSD	YIL169C	4	8	11	33
SSD	YOL155C	4	8	12	33
SSD	YDR276C	4	8	13	34
SSD	YDL123W	4	8	14	34
SSD	YGL255W	4	8	15	35
SSD	YLR130C	4	8	16	35
WGD	YGR214W	4	8	17	36
WGD	YLR048W	4	8	18	36
SSD	YIR031C	4	8	19	37
SSD	YNL117W	4	8	20	37
WGD	YBR189W	4	8	21	38
WGD	YPL081W	4	8	22	38
WGD	YLR270W	4	8	23	39
WGD	YOR173W	4	8	24	39
WGD	YLR270W	4	8	25	40
WGD	YOR173W	4	8	26	40
SSD	YBR069C	4	8	27	41
SSD	YCL025C	4	8	28	41
WGD	YBR089C-A	4	8	29	42
WGD	YPR052C	4	8	30	42
empty	empty	4	8	31	NA
empty	empty	4	8	32	NA
empty	empty	4	9	1	NA
empty	empty	4	9	2	NA
WGD	YGR004W	4	9	3	43
WGD	YLR324W	4	9	4	43
SSD	YOR390W	4	9	5	44
SSD	YPL279C	4	9	6	44
WGD	YDR273W	4	9	7	45
WGD	YOR042W	4	9	8	45
WGD	YGR004W	4	9	9	46
WGD	YLR324W	4	9	10	46
SSD	YMR253C	4	9	11	47
SSD	YPL264C	4	9	12	47
SSD	YIL169C	4	9	13	48
