orf	med	prey	homo	ppi	interaction	D	M	R	type_para	remove_MatA	comp_list	n.study	n.HM	HM.Kim	HM.bg.kim	HM.bg.kim.S	HM.PCA	HM.bg.kim.S.PCA
YAL001C	11.4401773937416	YAL001C	0	0	0	5.69019357782486	6.93870922143488	1.24851564361002	ssd	NA	Affinity Capture-MS(16554755)	1	0	0	0	0	NA	0
YAL002W	11.7278602021589	YAL002W	0	0	0	5.6655917418983	6.84011069986586	1.17451895796756	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YAL003W	7.05898385185857	YAL003W	0	0	0	9.48931011016479	8.62728946283917	-0.862020647325613	S	NA	NA	NA	NA	NA	NA	0	NA	0
YAL008W	11.7870583691826	YAL008W	0	0	0	5.36304488836098	4.56800777581335	-0.79503711254763	S	NA	NA	NA	NA	0	0	0	NA	0
YAL009W	11.0543289047259	YAL009W	0	0	0	1.85555124269322	2.01503362867244	0.159482385979212	S	NA	NA	NA	NA	NA	NA	0	NA	0
YAL011W	11.6347510566497	YAL011W	1	0	0	4.9525665409428	6.02696821644994	1.07440167550714	S	NA	Affinity Capture-MS(14690608);Affinity Capture-MS(16554755)	2	1	0	1	1	NA	1
YAL013W	11.1597474487081	YAL013W	0	0	0	5.20130451275499	4.82665525548407	-0.374649257270926	S	NA	Affinity Capture-MS(16314178)	1	0	0	0	0	NA	0
YAL015C	6.81262611087344	YAL015C	0	0	0	3.86350240526411	4.2668914601554	0.403389054891286	wgd	NA	Affinity Capture-MS(11805837)	1	0	0	0	0	NA	0
YAL016C-B	7.05699314188505	YAL016C-B	0	0	0	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	0	NA	0
YAL017W	9.68911567184277	YAL017W	0	0	0	5.27846432649855	4.37547043728435	-0.902993889214201	wgd	NA	Affinity Capture-MS(11805837);Affinity Capture-MS(16554755)	2	0	0	0	0	0	0
YAL018C	11.8087556480054	YAL018C	0	0	0	0	0.991179141210652	0.991179141210652	ssd-successiv	NA	NA	NA	NA	0	0	0	NA	0
YAL019W	11.4641933127068	YAL019W	1	0	0	4.13638007950834	4.23117124963608	0.0947911701277393	ssd-successiv	NA	Affinity Capture-MS(16554755);Affinity Capture-Western(20075079)	2	1	NA	1	1	NA	1
YAL021C	10.6905755362486	YAL021C	1	0	0	3.40634890627492	4.61090672024708	1.20455781397215	ssd-successiv	NA	Affinity Capture-MS(14759368);Affinity Capture-MS(16554755);Affinity Capture-Western(11113136);Affinity Capture-Western(9463387)	4	1	0	1	1	NA	1
YAL023C	11.1137937241162	YAL023C	0	0	0	5.58759901981814	5.44581276463917	-0.141786255178969	ssd_wgd	NA	Affinity Capture-Western(12551906)	1	0	0	0	0	NA	0
YAL024C	11.7035888805336	YAL024C	0	0	0	4.34079011994344	4.7623275524802	0.421537432536761	ssd-successiv	NA	Affinity Capture-MS(16554755)	1	0	0	0	0	NA	0
YAL026C	14.2700099345527	YAL026C	1	1	1	4.57473126266284	4.24999895061544	-0.324732312047408	ssd-successiv	NA	Affinity Capture-MS(16554755);Affinity Capture-MS(19968326)	2	1	0	1	1	NA	1
YAL027W	11.7339549898613	YAL027W	0	0	0	3.40634890627492	4.23117124963608	0.824822343361159	S	NA	NA	NA	NA	0	0	0	NA	0
YAL029C	14.9387301362516	YAL029C	2	1	1	5.85929623279848	5.58108305211095	-0.278213180687528	wgd	NA	Affinity Capture-MS(20457760);Affinity Capture-Western(17893244);PCA(18467557)	3	1	1	1	1	NA	1
YAL030W	6.96351858436015	YAL030W	0	0	0	6.2050033989506	6.87781785496118	0.672814456010584	wgd	NA	Two-hybrid(22875988)	1	0	0	0	0	0	0
YAL031C	11.7387697043978	YAL031C	0	0	0	3.77382757898069	4.71968177979685	0.945854200816159	S	NA	NA	NA	NA	0	0	0	NA	0
YAL032C	10.4442111010594	YAL032C	0	0	0	3.59617186214146	2.60165611094695	-0.994515751194512	S	NA	Two-hybrid(18719252)	1	0	0	0	0	NA	0
YAL034C	6.94275286489613	YAL034C	0	0	0	4.2890745637073	6.11184093134777	1.82276636764047	wgd	NA	Affinity Capture-MS(16554755)	1	0	0	0	0	NA	0
YAL036C	10.9038150340299	YAL036C	0	0	0	5.64056598149991	5.78997698142285	0.149410999922935	ssd	NA	Affinity Capture-MS(16554755)	1	0	0	0	0	0	0
YAL037C-A	6.92509341882289	YAL037C-A	0	0	0	NA	NA	NA	S	NA	NA	NA	NA	NA	NA	0	NA	0
