num	project	P1	P2	P1_DHFR12_Plate	P1_DHFR12_row	P1_DHFR12_col	P1_DHFR3_Plate	P1_DHFR3_row	P1_DHFR3_col	P2_DHFR12_Plate	P2_DHFR12_row	P2_DHFR12_col	P2_DHFR3_Plate	P2_DHFR3_row	P2_DHFR3_col
10	reconstructed	YDL022W	YOL059W	3	M	12	Plate_source_DHFR3_PCA_06_2018_AM	B	1	2	H	5	2	H	5
47	youngSSD	YJL219W	YOL156W	2	M	8	2	M	8	2	L	8	2	L	8
45	youngSSD	YIR031C	YNL117W	Plate_source_DHFR12_PCA_06_2018_AM	F	3	12	G	9	2	C	10	2	C	10
5	reconstructed	YBL075C	YER103W	Plate_source_DHFR12_PCA_06_2018_AM	D	1	3	K	16	2	J	16	2	J	16
34	youngSSD	YDR461W	YNL145W	Plate_source_DHFR12_PCA_06_2018_AM	G	2	1	G	20	3	O	7	3	O	7
16	reconstructed	YER081W	YIL074C	2	H	13	Plate_source_DHFR3_PCA_06_2018_AM	F	2	3	G	13	3	G	13
12	reconstructed	YBR089C-A	YPR052C	5	G	9	Plate_source_DHFR3_PCA_06_2018_AM	B	2	4	H	9	4	H	9
2	reconstructed	YOR204W	YPL119C	Plate_source_DHFR12_PCA_06_2018_AM	H	1	2	M	4	4	A	20	4	A	20
6	reconstructed	YDR490C	YOL100W	Plate_source_DHFR12_PCA_06_2018_AM	C	2	5	O	24	5	P	24	5	P	24
44	youngSSD	YIL169C	YOL155C	14	L	6	14	L	6	6	I	2	6	I	2
15	reconstructed	YGR136W	YPR154W	1	E	20	Plate_source_DHFR3_PCA_06_2018_AM	E	2	6	H	12	6	H	12
48	youngSSD	YLR144C	YNR067C	7	E	10	7	E	10	7	K	8	7	K	8
20	reconstructed	YLR450W	YML075C	6	P	18	6	P	18	Plate_source_DHFR12_PCA_06_2018_AM	E	1	7	M	18
3	reconstructed	YHL033C	YLL045C	Plate_source_DHFR12_PCA_06_2018_AM	A	2	9	A	1	8	D	1	8	D	1
8	reconstructed	YGR214W	YLR048W	Plate_source_DHFR12_PCA_06_2018_AM	G	1	9	G	1	8	J	1	8	J	1
7	reconstructed	YER131W	YGL189C	Plate_source_DHFR12_PCA_06_2018_AM	F	1	9	E	3	8	F	3	8	F	3
21	reconstructed	YBR189W	YPL081W	9	G	4	9	G	4	Plate_source_DHFR12_PCA_06_2018_AM	D	2	8	H	4
4	reconstructed	YDR358W	YHR108W	Plate_source_DHFR12_PCA_06_2018_AM	C	1	7	P	6	8	O	6	8	O	6
17	reconstructed	YGR004W	YLR324W	Plate_source_DHFR12_PCA_06_2018_AM	B	2	7	J	9	8	G	9	8	G	9
1	reconstructed	YDR385W	YOR133W	Plate_source_DHFR12_PCA_06_2018_AM	A	1	7	N	13	8	K	13	8	K	13
36	youngSSD	YEL066W	YPR193C	9	M	16	Plate_source_DHFR3_PCA_06_2018_AM	H	2	8	N	16	8	N	16
18	reconstructed	YBR069C	YCL025C	11	D	13	Plate_source_DHFR3_PCA_06_2018_AM	F	1	9	F	18	9	F	18
11	reconstructed	YDR093W	YER166W	10	A	23	Plate_source_DHFR3_PCA_06_2018_AM	A	2	9	B	23	9	B	23
14	reconstructed	YFL048C	YLR080W	11	B	21	Plate_source_DHFR3_PCA_06_2018_AM	E	1	9	J	23	9	J	23
39	youngSSD	YFL011W	YMR011W	Plate_source_DHFR12_PCA_06_2018_AM	H	2	10	N	2	10	D	3	10	D	3
30	youngSSD	YCR018C	YPL021W	5	D	5	5	D	5	Plate_source_DHFR12_PCA_06_2018_AM	E	4	10	G	3
46	youngSSD	YJL212C	YPR194C	12	K	14	12	K	14	10	L	7	10	L	7
40	youngSSD	YGL008C	YPL036W	2	K	12	2	K	12	Plate_source_DHFR12_PCA_06_2018_AM	F	4	10	D	9
13	reconstructed	YDL181W	YDL130W-A	7	K	4	Plate_source_DHFR3_PCA_06_2018_AM	D	1	10	J	13	10	J	13
19	reconstructed	YOR016C	YAL007C	10	C	24	10	C	24	Plate_source_DHFR12_PCA_06_2018_AM	B	1	10	A	24
41	youngSSD	YGL255W	YLR130C	10	D	20	10	D	20	Plate_source_DHFR12_PCA_06_2018_AM	G	3	11	D	19
31	youngSSD	YCR105W	YMR318C	12	C	7	12	C	7	Plate_source_DHFR12_PCA_06_2018_AM	H	3	12	B	7
9	reconstructed	YDR273W	YOR042W	4	M	3	Plate_source_DHFR3_PCA_06_2018_AM	A	1	12	D	21	12	D	21
35	youngSSD	YEL007W	YHR177W	13	L	12	13	L	12	Plate_source_DHFR12_PCA_06_2018_AM	C	3	13	G	4
29	youngSSD	YAR071W	YHR215W	Plate_source_DHFR12_PCA_06_2018_AM	E	2	12	F	13	13	B	9	13	B	9
28	youngSSD	YAR066W	YHR214W	12	J	20	12	J	20	Plate_source_DHFR12_PCA_06_2018_AM	D	3	14	F	4
38	youngSSD	YER187W	YGL262W	14	P	13	14	P	13	Plate_source_DHFR12_PCA_06_2018_AM	B	3	14	K	20
43	youngSSD	YIL014C-A	YIL102C	15	I	4	15	I	4	Plate_source_DHFR12_PCA_06_2018_AM	E	3	15	N	3
50	youngSSD	YNL018C	YNL034W	15	J	6	15	J	6	15	P	6	15	P	6
32	youngSSD	YCR106W	YLL054C	Plate_source_DHFR12_PCA_06_2018_AM	F	2	12	P	13	15	E	16	15	E	16
51	youngSSD	YOL082W	YOL083W	Plate_source_DHFR12_PCA_06_2018_AM	A	4	10	G	19	Plate_source_DHFR12_PCA_06_2018_AM	B	4	16	N	11
33	youngSSD	YDR391C	YOR012W	14	F	9	14	F	9	Plate_source_DHFR12_PCA_06_2018_AM	C	4	16	F	13
42	youngSSD	YGL258W	YOR387C	Plate_source_DHFR12_PCA_06_2018_AM	A	3	13	M	18	16	F	17	16	F	17
49	youngSSD	YMR253C	YPL264C	16	F	4	16	F	4	Plate_source_DHFR12_PCA_06_2018_AM	G	4	16	O	20
52	youngSSD	YOR390W	YPL279C	Plate_source_DHFR12_PCA_06_2018_AM	D	4	16	H	17	16	D	21	16	D	21
23	reconstructed	YDR276C	YDL123W	10	H	9	10	H	9	13	D	13	Plate_source_DHFR3_PCA_06_2018_AM	C	1
26	reconstructed	YLR270W	YOR173W	4	G	20	4	G	20	12	M	21	Plate_source_DHFR3_PCA_06_2018_AM	G	1
22	reconstructed	YKL188C	YPL147W	10	B	10	10	B	10	11	O	9	Plate_source_DHFR3_PCA_06_2018_AM	H	1
24	reconstructed	YJL099W	YKR027W	2	I	1	2	I	1	13	M	2	Plate_source_DHFR3_PCA_06_2018_AM	C	2
25	reconstructed	YBL039C	YJR103W	7	A	22	7	A	22	6	D	22	Plate_source_DHFR3_PCA_06_2018_AM	D	2
27	reconstructed	YNL104C	YOR108W	10	A	15	10	A	15	9	D	15	Plate_source_DHFR3_PCA_06_2018_AM	G	2
37	youngSSD	YEL073C	YJR108W	14	D	11	Plate_source_DHFR3_PCA_06_2018_AM	A	3	6	D	10	Plate_source_DHFR3_PCA_06_2018_AM	B	3
