Number	Gene	ORF	Known homomer	References
1	AAP1	YHR047C		
2	ACO1	YLR304C	_	Babu M, et al. (2012)
3	ACS2	YLR153C		
4	ADE17	YMR120C	_	Tarassov K, et al. (2008)
5	ADE5,7	YGL234W		
6	ADH2	YMR303C		
7	AGP1	YCL025C	_	Miller JP, et al. (2005)
8	AIM3	YBR108W	_	Alberti S, et al. (2009)
9	AKR1	YDR264C	_	Tarassov K, et al. (2008)
10	ALA1 	YOR335C	_	Krogan NJ, et al. (2004)
11	ALD4	YOR374W	_	Babu M, et al. (2012)
12	ALD5	YER073W		
13	ALO1	YML086C	_	Tarassov K, et al. (2008)
14	ARB1	YER036C		
15	ARC1	YGL105W		
16	ARC15	YIL062C		
17	ARG1	YOL058W		
18	ARL1	YBR164C		
19	ARO3	YDR035W		
20	ARP6	YLR085C		
21	ARX1	YDR101C	_	Krogan NJ, et al. (2004)
22	ASE1	YOR058C		
23	ASN2	YGR124W		
24	ATG13	YPR185W		
25	ATG21	YPL100W		
26	ATO3	YDR384C		
27	ATP1	YBL099W		
28	ATP14	YLR295C	_	Fronzes R, et al. (2006)
29	ATP17	YDR377W		
30	ATX2	YOR079C		
31	AUA1	YFL010W-A		
32	AVL9	YLR114C		
33	BAP2	YBR068C		
34	BAT1	YHR208W	_	Lopez G, et al. (2015)
35	BDF1	YLR399C		
36	BFR1	YOR198C	_	Babu M, et al. (2012)
37	BFR2	YDR299W		
38	BMH1	YER177W		
39	BRE1	YDL074C	_	Newman JR, et al. (2000)
40	BSC3	YLR465C		
41	BTN2	YGR142W		
42	BUD6	YLR319C	_	Amberg DC, et al. (1997)
43	CAM1	YPL048W		
44	CAR1	YPL111W	_	Uetz P, et al. (2000)
45	CAR2	YLR438W		
46	CBF1	YJR060W	_	Oechsner U and Bandlow W (1998)
47	CBF5	YLR175W		
48	CDC10	YCR002C	_	Versele M, et al. (2004)
49	CDC11	YJR076C	_	Lee PR, et al. (2002)
50	CDC14	YFR028C	_	Grandin N, et al. (1998)
51	CDC19	YAL038W		
52	CDC6	YJL194W		
53	CDC9	YDL164C		
54	CET1	YPL228W	_	Lima CD, et al. (1999)
55	CHC1	YGL206C		
56	CHL1	YPL008W		
57	CHS5	YLR330W	_	Tarassov K, et al. (2008)
58	CIT3	YPR001W		
59	CLC1	YGR167W		
60	COX15	YER141W		
61	COX4	YGL187C		
62	COX5A	YNL052W		
63	COX8	YLR395C		
64	CPA2	YJR109C		
65	CRN1	YLR429W	_	Newman JR, et al. (2000)
66	CRP1	YHR146W		
67	CSS1	YIL169C		
68	CTF3	YLR381W		
69	CTR2	YHR175W	_	Tarassov K, et al. (2008)
70	CWP1	YKL096W		
71	CYC8	YBR112C	_	Alberti S, et al. (2009)
72	CYS3	YAL012W	_	Messerschmidt A, et al. (2003)
73	DAD4	YDR320C-A		
