"File","Mat_A","Mat_alpha","Plate","replicat_plate","Condition","PCA"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/incluant_1ere_batch/S2_1ere_batch_data/S2_Plate1_R1.jpg.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,1,"S2","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/incluant_1ere_batch/S2_1ere_batch_data/S2_Plate1_R2.jpg.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,2,"S2","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/incluant_1ere_batch/S2_1ere_batch_data/S2_Plate1_R3.jpg.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,3,"S2","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/incluant_1ere_batch/S2_1ere_batch_data/S2_Plate2_R1.jpg.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,1,"S2","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/incluant_1ere_batch/S2_1ere_batch_data/S2_Plate2_R2.jpg.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,2,"S2","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/incluant_1ere_batch/S2_1ere_batch_data/S2_Plate2_R3.jpg.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,3,"S2","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01441.JPG.dat","data/PCA2_A.csv","data/PCA2_alpha.csv",3,1,"S2","PCA2"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01442.JPG.dat","data/PCA2_A.csv","data/PCA2_alpha.csv",3,2,"S2","PCA2"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01443.JPG.dat","data/PCA2_A.csv","data/PCA2_alpha.csv",3,3,"S2","PCA2"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01417.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,1,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01418.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,2,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01419.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,3,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01420.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,4,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01421.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,5,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01422.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,6,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01423.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,7,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01424.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,8,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01425.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,9,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01429.JPG.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,1,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01430.JPG.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,2,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01431.JPG.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,3,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01432.JPG.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,4,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01433.JPG.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,5,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01434.JPG.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,6,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01435.JPG.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,7,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01436.JPG.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,8,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/S2_data/IMG_01437.JPG.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,9,"S4","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/DMSO1_MTX1_data/d000051_300_005_17-10-04_07-58-34.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,1,"DMSO1","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/DMSO1_MTX1_data/d000051_300_010_17-10-04_08-01-59.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,2,"DMSO1","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/DMSO1_MTX1_data/d000051_300_015_17-10-04_08-05-19.JPG.dat","data/PCA1_pl1_A.csv","data/PCA1_pl1_alpha.csv",1,3,"DMSO1","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/DMSO1_MTX1_data/d000051_300_020_17-10-04_08-08-31.JPG.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,1,"DMSO1","PCA1"
"/home/axelle/Documents/projet/analyses_PCA_11_2017/DMSO1_MTX1_data/d000051_300_025_17-10-04_08-12-18.JPG.dat","data/PCA1_pl2_A.csv","data/PCA1_pl2_alpha.csv",2,2,"DMSO1","PCA1"
