"yORF"	"GFP tagged?"	"GFP visualized?"	"TAP visualized?"	"abundance"	"error"	"localization summary"	"ambiguous"	"mitochondrion"	"vacuole"	"spindle pole"	"cell periphery"	"punctate composite"	"vacuolar membrane"	"ER"	"nuclear periphery"	"endosome"	"bud neck"	"microtubule"	"Golgi"	"late Golgi"	"peroxisome"	"actin"	"nucleolus"	"cytoplasm"	"ER to Golgi"	"early Golgi"	"lipid particle"	"nucleus"	"bud"
"YAL001C"	"tagged"	"visualized"	"TAP visualized"	125	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YAL002W"	"tagged"	"visualized"	"TAP visualized"	736	"NA"	"endosome"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAL005C"	"tagged"	"visualized"	"TAP visualized"	269000	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL007C"	"tagged"	"visualized"	"TAP visualized"	26300	"NA"	"ER"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAL008W"	"tagged"	"visualized"	"TAP visualized"	1920	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAL009W"	"tagged"	"visualized"	"TAP visualized"	861	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YAL010C"	"tagged"	"visualized"	"TAP visualized"	768	"NA"	"mitochondrion"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAL011W"	"tagged"	"visualized"	"TAP visualized"	1380	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YAL012W"	"tagged"	"visualized"	"TAP visualized"	38300	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL014C"	"tagged"	"visualized"	"not TAP visualized"	"not visualized"	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YAL015C"	"tagged"	"visualized"	"TAP visualized"	"technical problem"	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YAL016W"	"tagged"	"visualized"	"TAP visualized"	16900	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
"YAL017W"	"tagged"	"visualized"	"TAP visualized"	967	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL019W"	"tagged"	"visualized"	"TAP visualized"	6800	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YAL021C"	"tagged"	"visualized"	"TAP visualized"	2780	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL023C"	"tagged"	"visualized"	"TAP visualized"	6510	"NA"	"ER"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"
"YAL024C"	"tagged"	"visualized"	"TAP visualized"	304	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL026C"	"tagged"	"visualized"	"TAP visualized"	606	"NA"	"early Golgi,late Golgi"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"
"YAL027W"	"tagged"	"visualized"	"TAP visualized"	1170	"NA"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YAL029C"	"tagged"	"visualized"	"TAP visualized"	2210	"NA"	"ambiguous,bud neck,cytoplasm,cell periphery,bud"	"T"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"T"
"YAL031C"	"tagged"	"visualized"	"TAP visualized"	227	"NA"	"cytoplasm"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"F"	"F"
"YAL032C"	"tagged"	"visualized"	"TAP visualized"	1670	"201.0"	"nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"
"YAL033W"	"tagged"	"visualized"	"TAP visualized"	2230	"NA"	"cytoplasm,nucleus"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"T"	"F"	"F"	"F"	"T"	"F"
