Phy000CVIB_YEAST	YAL069W
Phy000CVIC_YEAST	YAL068W-A
Phy000CVID_YEAST	YAL068C
Phy000CVIE_YEAST	YAL067W-A
Phy000CVIF_YEAST	YAL067C
Phy000CVIG_YEAST	YAL066W
Phy000CVIH_YEAST	YAL065C
Phy000CVII_YEAST	YAL064W-B
Phy000CVIJ_YEAST	YAL064C-A
Phy000CVIK_YEAST	YAL064W
Phy000CVIL_YEAST	YAL063C-A
Phy000CVIM_YEAST	YAL063C
Phy000CVIN_YEAST	YAL062W
Phy000CVIO_YEAST	YAL061W
Phy000CVIP_YEAST	YAL060W
Phy000CVIQ_YEAST	YAL059C-A
Phy000CVIR_YEAST	YAL059W
Phy000CVIS_YEAST	YAL058W
Phy000CVIT_YEAST	YAL056C-A
Phy000CVIU_YEAST	YAL056W
Phy000CVIV_YEAST	YAL055W
Phy000CVIW_YEAST	YAL054C
Phy000CVIX_YEAST	YAL053W
Phy000CVIY_YEAST	YAL051W
Phy000CVIZ_YEAST	YAL049C
Phy000CVJ0_YEAST	YAL048C
Phy000CVJ1_YEAST	YAL047W-A
Phy000CVJ2_YEAST	YAL047C
Phy000CVJ3_YEAST	YAL046C
Phy000CVJ4_YEAST	YAL045C
Phy000CVJ5_YEAST	YAL044W-A
Phy000CVJ6_YEAST	YAL044C
Phy000CVJ7_YEAST	YAL043C
Phy000CVJ8_YEAST	YAL042C-A
Phy000CVJ9_YEAST	YAL042W
Phy000CVJA_YEAST	YAL041W
Phy000CVJB_YEAST	YAL040C
Phy000CVJC_YEAST	YAL039C
Phy000CVJD_YEAST	YAL038W
Phy000CVJE_YEAST	YAL037C-B
Phy000CVJF_YEAST	YAL037C-A
Phy000CVJG_YEAST	YAL037W
Phy000CVJH_YEAST	YAL036C
Phy000CVJI_YEAST	YAL035W
Phy000CVJJ_YEAST	YAL034C-B
Phy000CVJK_YEAST	YAL034W-A
Phy000CVJL_YEAST	YAL034C
Phy000CVJM_YEAST	YAL033W
Phy000CVJN_YEAST	YAL032C
Phy000CVJO_YEAST	YAL031W-A
Phy000CVJP_YEAST	YAL031C
Phy000CVJQ_YEAST	YAL030W
Phy000CVJR_YEAST	YAL029C
Phy000CVJS_YEAST	YAL028W
Phy000CVJT_YEAST	YAL027W
Phy000CVJU_YEAST	YAL026C-A
Phy000CVJV_YEAST	YAL026C
Phy000CVJW_YEAST	YAL025C
Phy000CVJX_YEAST	YAL024C
Phy000CVJY_YEAST	YAL023C
Phy000CVJZ_YEAST	YAL022C
Phy000CVK0_YEAST	YAL021C
Phy000CVK1_YEAST	YAL020C
Phy000CVK2_YEAST	YAL019W-A
Phy000CVK3_YEAST	YAL019W
Phy000CVK4_YEAST	YAL018C
Phy000CVK5_YEAST	YAL017W
Phy000CVK6_YEAST	YAL016C-B
Phy000CVK7_YEAST	YAL016C-A
Phy000CVK8_YEAST	YAL016W
Phy000CVK9_YEAST	YAL015C
Phy000CVKA_YEAST	YAL014C
Phy000CVKB_YEAST	YAL013W
Phy000CVKC_YEAST	YAL012W
Phy000CVKD_YEAST	YAL011W
Phy000CVKE_YEAST	YAL010C
Phy000CVKF_YEAST	YAL009W
Phy000CVKG_YEAST	YAL008W
Phy000CVKH_YEAST	YAL007C
Phy000CVKI_YEAST	YAL005C
Phy000CVKJ_YEAST	YAL004W
Phy000CVKK_YEAST	YAL003W
Phy000CVKL_YEAST	YAL002W
Phy000CVKM_YEAST	YAL001C
Phy000CVKN_YEAST	YAR002W
Phy000CVKO_YEAST	YAR002C-A
Phy000CVKP_YEAST	YAR003W
Phy000CVKQ_YEAST	YAR007C
Phy000CVKR_YEAST	YAR008W
Phy000CVKS_YEAST	YAR009C
Phy000CVKT_YEAST	YAR010C
Phy000CVKT_YEAST	YPR137C-A
Phy000CVKU_YEAST	YAR014C
Phy000CVKV_YEAST	YAR015W
Phy000CVKW_YEAST	YAR018C
Phy000CVKX_YEAST	YAR019C
Phy000CVKY_YEAST	YAR019W-A
Phy000CVKZ_YEAST	YAR020C
Phy000CVL0_YEAST	YAR023C
Phy000CVL1_YEAST	YAR027W
Phy000CVL2_YEAST	YAR028W
Phy000CVL3_YEAST	YAR029W
Phy000CVL4_YEAST	YAR030C
Phy000CVL5_YEAST	YAR031W
Phy000CVL6_YEAST	YAR033W
Phy000CVL7_YEAST	YAR035W
Phy000CVL7_YEAST	YAT1
Phy000CVL8_YEAST	YAR035C-A
Phy000CVL9_YEAST	YAR042W
Phy000CVLA_YEAST	YAR047C
Phy000CVLB_YEAST	YAR050W
Phy000CVLC_YEAST	YAR053W
Phy000CVLD_YEAST	YAR060C
Phy000CVLE_YEAST	YAR064W
Phy000CVLF_YEAST	YAR066W
Phy000CVLF_YEAST	YHR214W
Phy000CVLG_YEAST	YAR068W
Phy000CVLH_YEAST	YAR069C
Phy000CVLH_YEAST	YHR214C-D
Phy000CVLI_YEAST	YAR070C
Phy000CVLJ_YEAST	YAR071W
Phy000CVLK_YEAST	YAR073W
Phy000CVLL_YEAST	YAR075W
Phy000CVLM_YEAST	YBL113C
Phy000CVLN_YEAST	YBL113W-A
Phy000CVLO_YEAST	YBL112C
Phy000CVLP_YEAST	YBL111C
Phy000CVLQ_YEAST	YBL109W
Phy000CVLR_YEAST	YBL108C-A
Phy000CVLS_YEAST	YBL108W
Phy000CVLT_YEAST	YBL107W-A
Phy000CVLU_YEAST	YBL107C
Phy000CVLV_YEAST	YBL106C
Phy000CVLW_YEAST	YBL105C
Phy000CVLX_YEAST	YBL104C
Phy000CVLX_YEAST	YBL104C/YBL103C-A
Phy000CVLY_YEAST	YBL103C
Phy000CVLZ_YEAST	YBL102W
Phy000CVM0_YEAST	YBL101C
Phy000CVM1_YEAST	YBL100W-C
Phy000CVM2_YEAST	YBL100W-B
Phy000CVM3_YEAST	YBL100W-A
Phy000CVM4_YEAST	YBL100C
Phy000CVM5_YEAST	YBL099W
Phy000CVM6_YEAST	YBL098W
Phy000CVM7_YEAST	YBL097W
Phy000CVM8_YEAST	YBL096C
Phy000CVM9_YEAST	YBL095W
Phy000CVMA_YEAST	YBL094C
Phy000CVMB_YEAST	YBL093C
Phy000CVMC_YEAST	YBL092W
Phy000CVMD_YEAST	YBL091C-A
Phy000CVME_YEAST	YBL091C
Phy000CVMF_YEAST	YBL090W
Phy000CVMG_YEAST	YBL089W
Phy000CVMH_YEAST	YBL088C
Phy000CVMI_YEAST	YBL087C
Phy000CVMJ_YEAST	YBL086C
Phy000CVMK_YEAST	YBL085W
Phy000CVML_YEAST	YBL084C
Phy000CVMM_YEAST	YBL083C
Phy000CVMN_YEAST	YBL082C
Phy000CVMO_YEAST	YBL081W
Phy000CVMP_YEAST	YBL080C
Phy000CVMQ_YEAST	YBL079W
Phy000CVMR_YEAST	YBL078C
Phy000CVMS_YEAST	YBL077W
Phy000CVMT_YEAST	YBL076C
Phy000CVMU_YEAST	YBL075C
Phy000CVMV_YEAST	YBL074C
Phy000CVMW_YEAST	YBL073W
Phy000CVMX_YEAST	YBL072C
Phy000CVMY_YEAST	YBL071C-B
Phy000CVMZ_YEAST	YBL071W-A
Phy000CVN0_YEAST	YBL071C
Phy000CVN1_YEAST	YBL070C
Phy000CVN2_YEAST	YBL069W
Phy000CVN3_YEAST	YBL068W-A
Phy000CVN4_YEAST	YBL068W
