P1	P2	Duplication	Sequence_identity
YAL001C	YMR192W	SSD	9.14
YAL036C	YGR173W	SSD	50.13
YAL039C	YKL087C	SSD	23.94
YAL040C	YMR199W	SSD	13.95
YAL041W	YGR070W	SSD	8.18
YAL042W	YML067C	SSD	17.12
YAL060W	YAL061W	SSD	46.52
YAR033W	YGL051W	SSD	96.58
YAR064W	YHR213W-B	SSD	97.98
YAR071W	YHR215W	SSD	93.71
YBL002W	YDR224C	SSD	96.95
YBL011W	YKR067W	SSD	31.66
YBL031W	YGL021W	SSD	6.95
YBL032W	YBR233W	SSD	13.67
YBL058W	YDR330W	SSD	14.01
YBL064C	YML028W	SSD	22.1
YBL066C	YLR451W	SSD	11.97
YBL086C	YOL105C	SSD	10.64
YBL091C	YLR244C	SSD	12.61
YBL097W	YGR116W	SSD	4.23
YBL103C	YJR060W	SSD	11.43
YBR002C	YMR101C	SSD	27.14
YBR003W	YPL069C	SSD	11.65
YBR011C	YMR267W	SSD	41.49
YBR012W-B	YGR161C-D	SSD	98.8
YBR015C	YJL186W	SSD	30.96
YBR040W	YMR279C	SSD	10.72
YBR059C	YIL095W	SSD	18.03
YBR069C	YCL025C	SSD	47.11
YBR072W	YDR171W	SSD	12.3
YBR073W	YGL163C	SSD	24.28
YBR098W	YIL036W	SSD	9.94
YBR105C	YGR066C	SSD	21.56
YBR126C	YML100W	SSD	15.6
YBR136W	YJR066W	SSD	12.0
YBR146W	YMR143W	SSD	16.15
YBR151W	YML050W	SSD	12.5
YBR162C	YJL171C	SSD	23.85
YBR165W	YDL167C	SSD	9.04
YBR168W	YLR324W	SSD	13.34
YBR184W	YBR148W	SSD	10.62
YBR201W	YDR411C	SSD	11.66
YBR207W	YER145C	SSD	26.25
YBR211C	YJL098W	SSD	5.58
YBR215W	YNL167C	SSD	12.23
YBR219C	YBR220C	SSD	17.09
YBR236C	YML008C	SSD	12.39
YBR244W	YIR037W	SSD	73.17
YBR249C	YDR035W	SSD	59.42
YBR251W	YGL123W	SSD	14.67
YBR263W	YLR058C	SSD	55.98
YBR276C	YNL128W	SSD	7.49
YBR281C	YFR044C	SSD	14.07
YBR283C	YLR378C	SSD	31.25
YBR287W	YOR092W	SSD	10.3
YBR289W	YLR321C	SSD	9.42
YCL026C-A	YCL026C-B	SSD	58.55
YCL057W	YKL134C	SSD	18.38
YCL059C	YOR145C	SSD	13.03
YCL068C	YCR038C	SSD	40.19
YCR004C	YDR032C	SSD	54.66
YCR009C	YDR388W	SSD	13.17
YCR018C	YPL021W	SSD	25.99
YCR021C	YDR033W	SSD	28.45
YCR023C	YBR241C	SSD	9.55
YCR036W	YJR105W	SSD	17.66
YCR040W	YCL066W	SSD	100.0
YCR045C	YEL060C	SSD	20.66
YCR059C	YDL177C	SSD	14.68
YCR061W	YNL237W	SSD	10.16
