P1_ID	P2_ID	Duplication_type	HM_P1	HM_P2	HET	P1_unspecific	P2_unspecific	Strict_HM_P1	Strict_HM_P2	Compared_interface	Full_sequence_identity	PDB_sequence_identity	Interface_sequence_identity	Non_interface_sequence_identity	Same_phylome	PDB_length	Full_protein_length
YDR256C	YGR088W	SSD	1a4e_1	NA	NA	0	1	1a4e_1	NA	P1_HM	36.66	43.63	41.7	45.69	0	488	515
YIL160C	YPL028W	SSD	1afw_1	NA	NA	0	1	1afw_1	NA	P1_HM	30.28	34.84	25.21	39.3	0	390	417
YEL013W	YNL189W	SSD	5xjg_1	1bk5_1	NA	0	0	NA	1bk5_1	P2_HM	15.62	21.67	13.85	23.17	1	422	542
YDL185W	YDL227C	SSD	1vde_1	NA	NA	1	0	1vde_1	NA	P1_HM	6.93	0	0	0	1	429	1071
YBR249C	YDR035W	SSD	1of8_1	NA	NA	1	1	1of8_1	NA	P1_HM	59.42	63.02	78.18	55.7	1	339	370
YFL018C	YPL091W	SSD	1v59_1	NA	NA	0	0	1v59_1	NA	P1_HM	23.38	27.39	29.68	26.19	1	478	499
YGR029W	YPR037C	SSD	3w4y_1	1jr8_1	NA	0	0	3w4y_1	1jr8_1	P1_HM	16.9	30.28	23.44	40.0	1	113	189
YGR029W	YPR037C	SSD	3w4y_1	1jr8_1	NA	0	0	3w4y_1	1jr8_1	P2_HM	17.89	31.43	25.49	37.04	1	105	196
YBR011C	YMR267W	SSD	1m38_1	NA	NA	1	0	1m38_1	NA	P1_HM	41.49	49.08	54.55	48.03	1	282	287
YJL194W	YML065W	SSD	NA	1m4z_1	NA	0	0	NA	1m4z_1	P2_HM	8.73	9.09	0	9.09	1	203	914
YJL035C	YPR062W	SSD	NA	1p6o_1	NA	0	0	NA	1p6o_1	P2_HM	12.4	21.33	22.73	20.24	0	156	158
YCR105W	YMR318C	SSD	NA	1piw_1	NA	0	0	NA	1piw_1	P2_HM	62.71	63.23	66.1	62.67	1	360	360
YDL042C	YPL015C	SSD	2hjh_1	1q14_1	NA	0	0	2hjh_1	1q14_1	P1_HM	14.6	32.62	20.0	33.59	1	319	562
YDL042C	YPL015C	SSD	2hjh_1	1q14_1	NA	0	0	2hjh_1	1q14_1	P2_HM	15.02	31.97	32.31	31.86	1	289	357
YEL066W	YPR193C	SSD	NA	1qsm_1	NA	0	0	NA	1qsm_1	P2_HM	42.46	50.67	52.69	47.37	1	150	156
YGR252W	YLR399C	SSD	1ygh_1	NA	NA	0	0	1ygh_1	NA	P1_HM	10.3	9.09	0	9.09	0	164	439
YDR283C	YPR033C	SSD	1zy4_1	NA	NA	0	0	1zy4_1	NA	P1_HM	6.76	22.73	0	22.73	0	271	1659
YBR003W	YPL069C	SSD	NA	2e8v_1	NA	0	0	NA	2e8v_1	P2_HM	13.2	22.79	18.85	26.0	0	292	335
YDR103W	YJL157C	SSD	4f2h_1	NA	NA	0	0	4f2h_1	NA	P1_HM	12.55	15.89	5.26	17.42	0	191	917
YFL034C-B	YIL106W	SSD	NA	2hjn_1	NA	0	0	NA	2hjn_1	P2_HM	20.42	33.33	29.17	33.96	1	201	314
YDR399W	YJR133W	SSD	2xbu_1	NA	NA	0	0	2xbu_1	NA	P1_HM	52.65	59.57	61.76	58.33	1	201	221
YHR111W	YHR171W	SSD	NA	3vh3_1	NA	1	0	NA	3t7e_1	P2_HM	9.49	13.14	11.46	14.29	1	316	630
YLR181C	YNL265C	SSD	2rkl_1	NA	NA	0	0	2rkl_1	NA	P1_HM	9.86	25.0	25.58	0.0	0	44	330
YER061C	YPL231W	SSD	NA	2wat_1	NA	0	1	NA	2wat_1	P2_HM	6.19	20.0	0.0	25.0	0	121	1887
YER143W	YOR138C	SSD	4z2z_1	NA	NA	0	1	4z2z_1	NA	P1_HM	8.78	19.51	18.6	20.0	0	124	428
YDL066W	YLR174W	SSD	2qfy_1	NA	NA	0	0	2qfy_1	NA	P1_HM	70.0	73.59	74.11	73.4	1	411	428
YEL041W	YPL188W	SSD	NA	3afo_1	NA	0	0	NA	3afo_1	P2_HM	19.21	29.24	43.24	22.51	1	360	414
YGR203W	YPR200C	SSD	3f4a_1	NA	NA	0	0	3f4a_1	NA	P1_HM	22.52	27.64	26.32	27.88	1	140	148
YDL010W	YPL156C	SSD	5j3r_1	NA	NA	0	0	5j3r_1	NA	P1_HM	17.96	32.46	14.29	33.64	1	114	231
YGR240C	YMR205C	SSD	3o8o_1	3o8o_1	3o8o_1	1	1	NA	NA	HET_P1	44.61	56.97	62.65	55.34	1	750	987
YGR240C	YMR205C	SSD	3o8o_1	3o8o_1	3o8o_1	1	1	NA	NA	HET_P2	44.12	55.92	63.58	53.85	1	763	959
YIL051C	YLR143W	SSD	3quw_1	NA	NA	0	0	3quw_1	NA	P1_HM	4.08	21.14	24.36	15.56	0	125	145
YGR163W	YML121W	SSD	NA	NA	3r7w_1	0	0	NA	NA	HET_P1	18.31	23.53	7.89	26.07	1	284	341
YGR163W	YML121W	SSD	NA	NA	3r7w_1	0	0	NA	NA	HET_P2	18.64	23.62	10.0	25.97	1	276	310
YIL035C	YOR061W	SSD	4lfi_1	NA	NA	0	0	4lfi_1	NA	P1_HM	51.04	60.12	61.11	60.06	1	370	372
YNL231C	YNL264C	SSD	4m8z_1	NA	NA	1	0	4m8z_1	NA	P1_HM	43.21	48.4	50.0	48.16	1	315	351
YBR281C	YFR044C	SSD	NA	4g1p_1	NA	0	0	NA	4g1p_1	P2_HM	13.74	27.84	39.13	22.83	1	479	481
YML120C	YMR145C	SSD	4g9k_1	NA	NA	0	0	4g9k_1	NA	P1_HM	39.07	49.77	46.99	50.42	1	463	513
YGR095C	YGR195W	SSD	NA	NA	5jea_1	0	0	NA	NA	HET_P1	18.39	23.08	26.25	12.5	0	224	223
YGR095C	YGR195W	SSD	NA	NA	5jea_1	0	0	NA	NA	HET_P2	16.09	20.19	21.21	16.28	0	243	246
YDL104C	YKR038C	SSD	4k25_1	NA	NA	0	0	4k25_1	NA	P1_HM	20.32	25.62	20.0	26.64	1	346	407
YDR339C	YOR004W	SSD	NA	4mj7_1	NA	0	0	NA	4mj7_1	P2_HM	12.5	25.18	19.4	30.56	1	157	254
YGR258C	YKL113C	SSD	4q0w_1	NA	NA	0	0	4q0w_1	NA	P1_HM	10.35	31.18	0	31.18	0	316	1031
YDR243C	YPL119C	SSD	4w7s_1	NA	NA	0	0	4w7s_1	NA	P1_HM	22.37	33.65	46.94	31.9	1	443	588
YLR168C	YLR193C	SSD	NA	5jqm_1	NA	0	0	NA	5jqm_1	P2_HM	20.59	29.88	40.0	24.77	1	235	175
YGR121C	YNL142W	SSD	NA	5aex_1	NA	0	1	NA	5aex_1	P2_HM	36.12	42.63	42.31	42.92	1	456	499
YLR072W	YLR189C	SSD	NA	5gl5_1	NA	0	0	NA	5gl5_1	P2_HM	5.73	14.51	16.36	14.2	0	431	1198
YJR032W	YLR216C	SSD	5jhe_1	NA	NA	0	0	5jhe_1	NA	P1_HM	37.53	40.28	31.88	42.27	1	388	393
YCR004C	YDR032C	SSD	NA	5mp4_1	NA	1	0	NA	5mp4_1	P2_HM	54.66	68.02	73.68	62.75	1	197	198
YAL038W	YOR347C	WGD	1a3w_1	NA	NA	1	0	1a3w_1	NA	P1_HM	69.96	71.95	77.3	69.8	1	492	500
YMR186W	YPL240C	WGD	NA	1ah6_1	NA	1	1	NA	1ah6_1	P2_HM	96.21	96.24	95.74	96.39	1	213	709
YKL091C	YMR079W	WGD	NA	1aua_1	NA	0	0	NA	1aua_1	P2_HM	60.51	64.07	74.07	63.06	1	296	304
YMR180C	YPL228W	WGD	NA	1d8h_1	NA	0	0	NA	1d8h_1	P2_HM	13.46	28.0	20.24	31.93	1	288	549
YBR117C	YPR074C	WGD	NA	1gpu_1	NA	0	1	NA	1gpu_1	P2_HM	71.37	71.53	80.09	67.67	1	678	680
YER057C	YIL051C	WGD	1jd1_1	3quw_1	NA	0	0	1jd1_1	3quw_1	P1_HM	62.07	71.43	76.19	61.9	1	126	129
YER057C	YIL051C	WGD	1jd1_1	3quw_1	NA	0	0	1jd1_1	3quw_1	P2_HM	62.07	71.2	75.0	64.44	1	125	145
YFL018C	YPL017C	WGD	1v59_1	NA	NA	0	0	1v59_1	NA	P1_HM	37.07	41.08	36.81	43.38	1	478	499
YGR180C	YJL026W	WGD	1sms_1	1smq_1	1jk0_1	0	1	1sms_1	1smq_1	P1_HM	47.37	56.05	69.09	53.28	1	314	345
YGR180C	YJL026W	WGD	1sms_1	1smq_1	1jk0_1	0	1	1sms_1	1smq_1	P2_HM	47.37	54.49	70.59	51.2	1	329	399
YGR180C	YJL026W	WGD	1sms_1	1smq_1	1jk0_1	0	1	1sms_1	1smq_1	HET_P1	47.37	56.6	66.07	54.07	1	265	345
YGR180C	YJL026W	WGD	1sms_1	1smq_1	1jk0_1	0	1	1sms_1	1smq_1	HET_P2	47.37	54.58	66.67	51.81	1	334	399
YEL039C	YJR048W	WGD	1yea_1	1ycc_1	NA	0	0	1yea_1	1ycc_1	P1_HM	80.53	83.33	73.91	85.88	1	111	113
YEL039C	YJR048W	WGD	1yea_1	1ycc_1	NA	0	0	1yea_1	1ycc_1	P2_HM	80.53	84.11	75.0	86.21	1	107	109
YLR442C	YML065W	WGD	2fvu_1	1m4z_1	NA	0	0	2fvu_1	1m4z_1	P1_HM	24.0	48.66	48.89	48.59	1	190	978
YLR442C	YML065W	WGD	2fvu_1	1m4z_1	NA	0	0	2fvu_1	1m4z_1	P2_HM	22.06	50.0	47.22	50.61	1	203	914
YMR207C	YNR016C	WGD	NA	3k8x_1	NA	0	1	NA	3k8x_1	P2_HM	52.61	66.23	79.01	59.18	1	688	2233
YKL129C	YMR109W	WGD	NA	1zuy_1	NA	0	0	NA	1zuy_1	P2_HM	70.16	82.76	96.3	70.97	1	58	1219
YOR237W	YPL145C	WGD	NA	4jch_1	NA	0	0	NA	4jch_1	P2_HM	68.74	69.05	60.0	69.97	1	436	434
YER070W	YIL066C	WGD	3k8t_1	NA	NA	1	0	3k8t_1	NA	P1_HM	78.52	87.03	92.06	86.48	1	640	888
YBR020W	YDR009W	WGD	NA	3v2u_1	NA	0	0	NA	3v5r_1	P2_HM	71.75	74.8	75.32	74.7	1	499	520
YCL043C	YDR518W	WGD	3boa_1	NA	NA	0	0	3boa_1	NA	P1_HM	38.84	41.47	36.36	42.82	1	490	522
YHR117W	YNL121C	WGD	NA	2gw1_1	NA	0	0	NA	2gw1_1	P2_HM	48.18	57.29	67.05	55.14	1	487	617
YDL042C	YOL068C	WGD	2hjh_1	NA	NA	0	0	2hjh_1	NA	P1_HM	52.26	79.05	75.0	79.51	1	319	562
