P1	sseqid_PDB	sseqid_chain	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	rank	P2
ENSP00000362659.2	1a07	A	100	106	0	0	150	255	2	107	2e-70	226	49	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
ENSP00000362659.2	1a07	B	100	106	0	0	150	255	2	107	2e-70	226	48	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
ENSP00000362659.2	1a08	A	100	106	0	0	150	255	2	107	2e-70	226	47	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
ENSP00000362659.2	1a08	B	100	106	0	0	150	255	2	107	2e-70	226	46	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
ENSP00000362659.2	1a09	A	100	106	0	0	150	255	2	107	2e-70	226	45	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
ENSP00000362659.2	1a09	B	100	106	0	0	150	255	2	107	2e-70	226	44	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
ENSP00000362659.2	1a1b	A	100	106	0	0	150	255	2	107	2e-70	226	43	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
ENSP00000362659.2	1a1b	B	100	106	0	0	150	255	2	107	2e-70	226	42	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
ENSP00000362659.2	1a1c	A	100	106	0	0	150	255	2	107	2e-70	226	41	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
ENSP00000362659.2	1a1c	B	100	106	0	0	150	255	2	107	2e-70	226	40	ENSP00000363117.3,ENSP00000363116.1,ENSP00000363115.3,ENSP00000407670.1,ENSP00000382126.1
