YAL001C	YMR192W
YAL036C	YGR173W
YAL039C	YKL087C
YAL040C	YMR199W
YAL041W	YGR070W
YAL042W	YML067C
YAL060W	YAL061W
YAR033W	YGL051W
YAR064W	YHR213W-B
YAR071W	YHR215W
YBL002W	YDR224C
YBL011W	YKR067W
YBL031W	YGL021W
YBL032W	YBR233W
YBL058W	YDR330W
YBL064C	YML028W
YBL066C	YLR451W
YBL086C	YOL105C
YBL091C	YLR244C
YBL097W	YGR116W
YBL103C	YJR060W
YBR002C	YMR101C
YBR003W	YPL069C
YBR011C	YMR267W
YBR012W-B	YGR161C-D
YBR015C	YJL186W
YBR040W	YMR279C
YBR059C	YIL095W
YBR069C	YCL025C
YBR072W	YDR171W
YBR073W	YGL163C
YBR098W	YIL036W
YBR105C	YGR066C
YBR126C	YML100W
YBR136W	YJR066W
YBR146W	YMR143W
YBR151W	YML050W
YBR162C	YJL171C
YBR165W	YDL167C
YBR168W	YLR324W
YBR184W	YBR148W
YBR201W	YDR411C
YBR207W	YER145C
YBR211C	YJL098W
YBR215W	YNL167C
YBR219C	YBR220C
YBR236C	YML008C
YBR244W	YIR037W
YBR249C	YDR035W
YBR251W	YGL123W
YBR263W	YLR058C
YBR276C	YNL128W
YBR281C	YFR044C
YBR283C	YLR378C
YBR287W	YOR092W
YBR289W	YLR321C
YCL026C-A	YCL026C-B
YCL057W	YKL134C
YCL059C	YOR145C
YCL068C	YCR038C
YCR004C	YDR032C
YCR009C	YDR388W
YCR018C	YPL021W
YCR021C	YDR033W
YCR023C	YBR241C
YCR036W	YJR105W
YCR040W	YCL066W
YCR045C	YEL060C
YCR059C	YDL177C
YCR061W	YNL237W
YCR083W	YLR043C
YCR097W	YGL096W
YCR105W	YMR318C
YCR106W	YLL054C
YDL002C	YMR072W
YDL007W	YDR394W
YDL018C	YAL007C
YDL030W	YLR074C
YDL049C	YJL174W
YDL055C	YDR211W
YDL059C	YML032C
YDL060W	YPL217C
YDL063C	YBL101C
YDL066W	YLR174W
YDL072C	YKL065C
YDL081C	YDL130W
YDL091C	YML013W
YDL104C	YKR038C
YDL106C	YDR451C
YDL113C	YDR425W
YDL125C	YDR305C
YDL128W	YNL321W
YDL142C	YPR113W
YDL164C	YOR005C
YDL170W	YDR213W
YDL171C	YDR376W
YDL185W	YDL227C
YDL206W	YJR106W
YDR017C	YDR173C
YDR022C	YER089C
YDR023W	YHR011W
YDR034C-C	YLR410W-A
YDR045C	YGL070C
YDR060W	YPR144C
YDR072C	YKL004W
YDR074W	YMR261C
YDR089W	YPL019C
YDR090C	YBR147W
YDR103W	YJL157C
YDR109C	YNL249C
YDR131C	YJL149W
YDR155C	YML078W
YDR169C	YBR270C
YDR182W	YIL039W
YDR182W-A	YMR034C
YDR190C	YPL235W
YDR191W	YOR025W
YDR192C	YKL068W
YDR197W	YHR063C
YDR205W	YMR243C
YDR210W-A	YOR343W-A
YDR214W	YNL281W
YDR235W	YML046W
YDR243C	YPL119C
YDR244W	YMR018W
YDR245W	YJL183W
YDR256C	YGR088W
YDR258C	YLL026W
YDR265W	YLR427W
YDR276C	YDL123W
YDR283C	YPR033C
YDR284C	YDR503C
YDR292C	YPR088C
YDR294C	YMR250W
YDR314C	YER162C
YDR319C	YGL126W
YDR338C	YHR032W
YDR339C	YOR004W
