ENSG00000000938	ENSG00000197122
ENSG00000008056	ENSG00000185666
ENSG00000008128	ENSG00000248333
ENSG00000008441	ENSG00000141905
ENSG00000013441	ENSG00000113240
ENSG00000023330	ENSG00000158578
ENSG00000023445	ENSG00000110330
ENSG00000024422	ENSG00000110047
ENSG00000027075	ENSG00000171132
ENSG00000035664	ENSG00000167657
ENSG00000053371	ENSG00000162482
ENSG00000058404	ENSG00000148660
ENSG00000065054	ENSG00000109062
ENSG00000065371	ENSG00000114547
ENSG00000065621	ENSG00000148834
ENSG00000067057	ENSG00000141959
ENSG00000067066	ENSG00000079263
ENSG00000068078	ENSG00000160867
ENSG00000068976	ENSG00000100994
ENSG00000069424	ENSG00000170049
ENSG00000071242	ENSG00000117676
ENSG00000072042	ENSG00000139988
ENSG00000072110	ENSG00000130402
ENSG00000072832	ENSG00000151640
ENSG00000073282	ENSG00000078900
ENSG00000075624	ENSG00000184009
ENSG00000078328	ENSG00000100320
ENSG00000078699	ENSG00000079102
ENSG00000079805	ENSG00000106976
ENSG00000082458	ENSG00000132535
ENSG00000087086	ENSG00000132446
ENSG00000089250	ENSG00000164867
ENSG00000092199	ENSG00000179172
ENSG00000092820	ENSG00000147065
ENSG00000097007	ENSG00000143322
ENSG00000099365	ENSG00000106089
ENSG00000099822	ENSG00000143630
ENSG00000100083	ENSG00000125447
ENSG00000100122	ENSG00000244752
ENSG00000100167	ENSG00000184640
ENSG00000100266	ENSG00000124507
ENSG00000100505	ENSG00000119283
ENSG00000100804	ENSG00000204264
ENSG00000100938	ENSG00000137198
ENSG00000101292	ENSG00000169618
ENSG00000101882	ENSG00000189134
ENSG00000102069	ENSG00000177889
ENSG00000102781	ENSG00000186625
ENSG00000103024	ENSG00000103202
ENSG00000104765	ENSG00000176171
ENSG00000105146	ENSG00000178999
ENSG00000105221	ENSG00000142208
ENSG00000105679	ENSG00000111640
ENSG00000105698	ENSG00000158773
ENSG00000106348	ENSG00000178035
ENSG00000106683	ENSG00000182541
ENSG00000106829	ENSG00000196781
ENSG00000107404	ENSG00000161202
ENSG00000109079	ENSG00000174943
ENSG00000109132	ENSG00000165462
ENSG00000109332	ENSG00000131508
ENSG00000109654	ENSG00000110171
ENSG00000109846	ENSG00000160202
ENSG00000111218	ENSG00000126457
ENSG00000111328	ENSG00000167797
ENSG00000111786	ENSG00000136450
ENSG00000113712	ENSG00000180138
ENSG00000114349	ENSG00000128266
ENSG00000114738	ENSG00000162889
ENSG00000115085	ENSG00000165025
ENSG00000115255	ENSG00000129625
ENSG00000115641	ENSG00000183386
ENSG00000116254	ENSG00000170004
ENSG00000116337	ENSG00000133805
ENSG00000117450	ENSG00000167815
ENSG00000119917	ENSG00000119922
ENSG00000120149	ENSG00000163132
ENSG00000120693	ENSG00000166949
ENSG00000121236	ENSG00000132256
ENSG00000123136	ENSG00000198563
ENSG00000123143	ENSG00000160447
ENSG00000126561	ENSG00000173757
ENSG00000126583	ENSG00000166501
ENSG00000126838	ENSG00000175899
ENSG00000126934	ENSG00000169032
ENSG00000126945	ENSG00000169045
ENSG00000130669	ENSG00000137843
ENSG00000130717	ENSG00000143179
ENSG00000130957	ENSG00000165140
ENSG00000131165	ENSG00000255112
ENSG00000131721	ENSG00000203989
ENSG00000132840	ENSG00000145692
ENSG00000133069	ENSG00000172765
ENSG00000133216	ENSG00000182580
ENSG00000133275	ENSG00000213923
ENSG00000133606	ENSG00000179455
ENSG00000134138	ENSG00000143995
ENSG00000134709	ENSG00000168172
ENSG00000135018	ENSG00000188021
ENSG00000135486	ENSG00000139675
ENSG00000136144	ENSG00000136161
ENSG00000136754	ENSG00000138443
ENSG00000136872	ENSG00000149925
ENSG00000136944	ENSG00000162761
ENSG00000137171	ENSG00000174996
ENSG00000137193	ENSG00000198355
ENSG00000138100	ENSG00000158022
ENSG00000138642	ENSG00000138646
ENSG00000140367	ENSG00000160714
ENSG00000141098	ENSG00000145990
ENSG00000141720	ENSG00000166908
ENSG00000143549	ENSG00000198467
ENSG00000143847	ENSG00000177380
ENSG00000145335	ENSG00000173267
ENSG00000146425	ENSG00000165169
ENSG00000147274	ENSG00000213516
ENSG00000149557	ENSG00000171055
ENSG00000154370	ENSG00000162931
ENSG00000157601	ENSG00000183486
ENSG00000158467	ENSG00000168710
ENSG00000159692	ENSG00000175029
ENSG00000160789	ENSG00000176619
ENSG00000163993	ENSG00000171643
ENSG00000165943	ENSG00000176903
ENSG00000166681	ENSG00000184515
