P1_ID	P2_ID	HM_P1	HM_P2	HET	Strict_HM_P1	Strict_HM_P2	Compared_interface	Full_sequence_identity	PDB_sequence_identity	Interface_sequence_identity	Non_interface_sequence_identity	Same_phylome	Gene_1	Gene_2	PDB_length	Full_protein_length
ENSP00000264972.5	ENSP00000364907.4	NA	5t68_1	NA	NA	5t68_1	P2_HM	50.99	62.88	46.67	64.96	1	ENSG00000115085	ENSG00000165025	266	635
ENSP00000457468.2	ENSP00000497767.1	5ky6_1	NA	NA	5ky6_1	NA	P1_HM	61.0	72.27	78.99	68.32	0	ENSG00000149925	ENSG00000136872	324	418
ENSP00000363988.4	ENSP00000457468.2	NA	5ky6_1	NA	NA	5ky6_1	P2_HM	61.0	72.27	78.99	68.32	0	ENSG00000136872	ENSG00000149925	324	418
ENSP00000457468.2	ENSP00000497990.1	5ky6_1	NA	NA	5ky6_1	NA	P1_HM	61.0	72.27	78.99	68.32	0	ENSG00000149925	ENSG00000136872	324	418
ENSP00000457468.2	ENSP00000497731.1	5ky6_1	NA	NA	5ky6_1	NA	P1_HM	61.0	72.27	78.99	68.32	0	ENSG00000149925	ENSG00000136872	324	418
ENSP00000378731.2	ENSP00000457468.2	1xfb_1	5ky6_1	NA	1xfb_1	5ky6_1	P2_HM	71.29	84.88	90.16	81.68	0	ENSG00000109107	ENSG00000149925	324	418
ENSP00000226253.4	ENSP00000457468.2	NA	5ky6_1	NA	NA	5ky6_1	P2_HM	71.29	84.88	90.16	81.68	0	ENSG00000109107	ENSG00000149925	324	418
ENSP00000321584.4	ENSP00000417296.1	1nf7_1	NA	NA	1nf7_1	NA	P1_HM	83.85	85.43	85.06	85.66	0	ENSG00000178035	ENSG00000106348	454	514
ENSP00000321584.4	ENSP00000486056.1	1nf7_1	NA	NA	1nf7_1	NA	P1_HM	83.85	85.43	85.06	85.66	0	ENSG00000178035	ENSG00000106348	454	514
ENSP00000264033.3	ENSP00000270279.3	2cbl_1	NA	NA	1b47_1	NA	P1_HM	24.32	48.68	43.59	49.43	0	ENSG00000110395	ENSG00000142273	304	906
