P1_ID	P2_ID	Duplication_type	Monomer_P1	Monomer_P2	HM_P1	HM_P2	HET	P1_unspecific	P2_unspecific
YNL172W	YOR224C	SSD	NA	1a1d_1,3cqz_1,4c3h_1,4c3i_1,5fmf_1,5ip7_1,5ip9_1	NA	4ym7_1	NA	0	0
YDR256C	YGR088W	SSD	NA	NA	1a4e_1	NA	NA	0	1
YIL160C	YPL028W	SSD	NA	NA	1afw_1,1pxt_1	NA	NA	0	1
YEL013W	YNL189W	SSD	NA	NA	5xjg_1	1bk5_1	NA	0	0
YGR080W	YLL050C	SSD	NA	1cfy_1,1cof_1,1qpv_1	NA	NA	NA	0	0
YDL185W	YDL227C	SSD	1dfa_1	NA	1vde_1	NA	NA	1	0
YHR119W	YJL168C	SSD	2j8a_1	1e0n_1	NA	NA	NA	0	0
YLR262C	YOR089C	SSD	NA	1ek0_1	NA	NA	NA	0	0
YGL043W	YJR063W	SSD	1eo0_1,5fmf_1	4c3h_1,4c3i_1	NA	4ym7_1	NA	0	0
YCR097W	YGL096W	SSD	1f43_1	NA	NA	NA	NA	0	0
YDR373W	YKL190W	SSD	1fpw_1,2ju0_1	NA	NA	NA	NA	0	0
YBR249C	YDR035W	SSD	NA	NA	1oab_1,1of6_1,1of8_1,1ofa_1,1ofb_1,1ofo_1,1ofp_1,1ofq_1,1ofr_1	NA	NA	1	1
YIL021W	YPR110C	SSD	3cqz_1,5fmf_1,5ip7_1,5ip9_1	4c3h_1,4c3i_1	NA	4ym7_1	NA	0	0
YDR045C	YGL070C	SSD	NA	3cqz_1,5fmf_1,5ip7_1,5ip9_1	NA	NA	NA	0	0
YNL113W	YOL005C	SSD	4c3h_1,4c3i_1	3cqz_1,5fmf_1,5ip7_1,5ip9_1	4ym7_1	NA	NA	0	0
YDR155C	YML078W	SSD	1ist_1	NA	NA	NA	NA	1	0
YFL018C	YPL091W	SSD	NA	NA	1jeh_1,1v59_1	NA	NA	0	0
YGR029W	YPR037C	SSD	NA	NA	3w4y_1,4e0h_1	1jr8_1,1jra_1	NA	0	0
YHR035W	YPR181C	SSD	NA	NA	NA	1m2o_1,4bzi_1	NA	0	0
YHR098C	YIL109C	SSD	NA	NA	NA	4bzi_1	NA	0	0
YBR011C	YMR267W	SSD	NA	NA	1m38_1	NA	NA	1	0
YJL194W	YML065W	SSD	NA	NA	NA	1m4z_1	5udb_1,5v8f_1	0	0
YMR042W	YMR043W	SSD	NA	NA	NA	1mnm_1	NA	0	0
YDL137W	YOR094W	SSD	1mr3_1	NA	NA	NA	NA	0	0
YGR246C	YPR086W	SSD	NA	5fmf_1	NA	NA	NA	0	0
YDR292C	YPR088C	SSD	NA	NA	NA	NA	NA	0	1
YDR404C	YKL144C	SSD	5fmf_1,5ip7_1,5ip9_1	NA	1y14_1	NA	NA	0	0
YKL012W	YPR152C	SSD	1o6w_1,2b7e_1	2juc_1	NA	NA	NA	0	0
YNL238W	YOR003W	SSD	NA	NA	NA	NA	NA	0	0
YJL035C	YPR062W	SSD	NA	NA	NA	1ox7_1,1p6o_1,1rb7_1,1uaq_1	NA	0	0
YDL055C	YDR211W	SSD	NA	1paq_1	NA	NA	NA	0	1
YCR105W	YMR318C	SSD	NA	NA	NA	1piw_1,1ps0_1,1q1n_1	NA	0	0
YAL041W	YGR070W	SSD	1pqs_1,1tz1_1	NA	NA	NA	NA	0	0
YDL042C	YPL015C	SSD	NA	NA	2hjh_1	1q14_1,1q17_1	NA	0	0
YEL066W	YPR193C	SSD	NA	NA	NA	1qsm_1,1qso_1	NA	0	0
YDR435C	YOL141W	SSD	1rjd_1,1rje_1,1rjf_1,1rjg_1,2ob1_1,2ob2_1	2zw9_1,2zwa_1,2zzk_1	NA	NA	NA	0	0
YDR228C	YOR158W	SSD	1sz9_1,1sza_1,2bf0_1,2nax_1,5m9z_1	NA	NA	NA	NA	0	1
YER107C	YOR026W	SSD	NA	1u4c_1,1yfq_1	NA	NA	NA	0	0
YER136W	YOR370C	SSD	3cpi_1	NA	NA	NA	NA	0	0
YCL032W	YML017W	SSD	1uqv_1,1z1v_1	NA	NA	NA	NA	0	0
YDR214W	YNL281W	SSD	NA	NA	NA	NA	NA	1	0
YBR136W	YJR066W	SSD	NA	1w1n_1,2kio_1,2kit_1	NA	NA	NA	0	0
YDR519W	YNL135C	SSD	NA	1yat_1	NA	NA	NA	0	1
YGR252W	YLR399C	SSD	NA	NA	1ygh_1	NA	NA	0	0
YDL164C	YOR005C	SSD	NA	NA	NA	NA	NA	0	0
YDR283C	YPR033C	SSD	2yz0_1	NA	1zxe_1,1zy4_1,1zy5_1,1zyc_1,1zyd_1,4otm_1	NA	NA	0	0
YER167W	YOR359W	SSD	NA	2b6g_1,2d3d_1,2fe9_1	NA	NA	NA	0	0
YBR003W	YPL069C	SSD	NA	NA	NA	2dh4_1,2e8t_1,2e8u_1,2e8v_1,2e8w_1,2e8x_1,2e90_1,2e91_1,2e92_1,2e93_1,2e94_1,2e95_1,2z4v_1,2z4w_1,2z4x_1,2z4y_1,2z4z_1,2z50_1,2z52_1,2z78_1,2z7h_1,2z7i_1,2zeu_1,2zev_1	NA	0	0
YDL007W	YDR394W	SSD	5a5b_1	5a5b_1	NA	NA	3jco_1,3jcp_1,4cr2_1,4cr3_1,4cr4_1,5mp9_1,5mpa_1,5mpb_1,5mpc_1,5wvi_1,5wvk_1	0	0
YBL066C	YLR451W	SSD	NA	NA	NA	2er8_1,2ere_1	NA	0	0
YDR103W	YJL157C	SSD	2kgn_1,2l4u_1,3fze_1	NA	4f2h_1	NA	NA	0	0
YPL237W	YPR041W	SSD	NA	2ful_1	NA	NA	NA	1	1
YLR008C	YNL328C	SSD	NA	NA	NA	NA	NA	0	0
YFL034C-B	YIL106W	SSD	NA	NA	NA	2hjn_1	NA	0	0
YGR171C	YGR264C	SSD	NA	NA	NA	2hsn_1	NA	0	1
YLR115W	YLR277C	SSD	2i7x_1	NA	NA	NA	NA	0	0
YCR083W	YLR043C	SSD	NA	2i9h_1,3f3q_1	NA	NA	NA	0	0
YDR017C	YDR173C	SSD	NA	2iew_1,2if8_1	NA	NA	NA	0	0
YIL153W	YPL152W	SSD	NA	2ixn_1	NA	NA	NA	0	0
YLR016C	YLR238W	SSD	2jkd_1,3elv_1	NA	NA	NA	NA	0	0
YDR399W	YJR133W	SSD	NA	NA	2jky_1,2jkz_1,2xbu_1	NA	NA	0	0
YGL122C	YPR107C	SSD	2jps_1,2v75_1,3zj2_1	NA	NA	NA	NA	0	0
YCL011C	YDR432W	SSD	2mzq_1	2jvo_1,2osq_1,2osr_1	NA	NA	NA	0	1
YOL082W	YOL083W	SSD	2kzb_1	2kzk_1	NA	NA	NA	0	0
YBL097W	YGR116W	SSD	NA	2l3t_1,3psj_1,3psk_1	NA	NA	NA	0	0
YHR111W	YHR171W	SSD	NA	3ruj_1,3t7f_1	NA	3t7e_1,3vh1_1,3vh2_1,3vh3_1,3vh4_1,4gsl_1	NA	1	0
YER038C	YGL066W	SSD	NA	2lo3_1	NA	4fip_1,4fjc_1,4zux_1	NA	0	0
YLR181C	YNL265C	SSD	NA	3ggy_1	2rkk_1,2rkl_1,3mhv_1,5uie_1,5xmk_1	NA	NA	0	0
YCL035C	YLR364W	SSD	3c1r_1,3c1s_1	2m80_1	NA	NA	NA	0	0
YHR040W	YJR055W	SSD	2n94_1	2n95_1	NA	NA	NA	0	0
YER061C	YPL231W	SSD	NA	2ml8_1	NA	2pff_1,2uv8_1,2vkz_1,2wat_1,3hmj_1	NA	0	1
YER143W	YOR138C	SSD	2mr9_1,2mrp_1,2n7e_1	NA	4z2z_1	NA	NA	0	1
YNL004W	YOR319W	SSD	2mzr_1,2mzs_1,2mzt_1	NA	NA	NA	NA	0	0
