P1	P2	Duplication	Sequence_identity	Same_phylome
YAL001C	YMR192W	SSD	9.14	0
YAL036C	YGR173W	SSD	50.13	1
YAL039C	YKL087C	SSD	23.94	1
YAL040C	YMR199W	SSD	13.95	0
YAL041W	YGR070W	SSD	8.18	0
YAL042W	YML067C	SSD	17.12	1
YAL060W	YAL061W	SSD	46.52	1
YAR033W	YGL051W	SSD	96.58	1
YAR064W	YHR213W-B	SSD	97.98	1
YAR071W	YHR215W	SSD	93.71	1
YBL002W	YDR224C	SSD	96.95	1
YBL011W	YKR067W	SSD	31.66	1
YBL031W	YGL021W	SSD	6.95	0
YBL032W	YBR233W	SSD	13.67	1
YBL058W	YDR330W	SSD	14.01	0
YBL064C	YML028W	SSD	22.1	1
YBL066C	YLR451W	SSD	11.97	0
YBL086C	YOL105C	SSD	10.64	0
YBL091C	YLR244C	SSD	12.61	0
YBL097W	YGR116W	SSD	4.23	0
YBL103C	YJR060W	SSD	11.43	0
YBR002C	YMR101C	SSD	27.14	1
YBR003W	YPL069C	SSD	11.65	0
YBR011C	YMR267W	SSD	41.49	1
YBR012W-B	YGR161C-D	SSD	98.8	1
YBR015C	YJL186W	SSD	30.96	1
YBR040W	YMR279C	SSD	10.72	0
YBR059C	YIL095W	SSD	18.03	0
YBR069C	YCL025C	SSD	47.11	0
YBR072W	YDR171W	SSD	12.3	1
YBR073W	YGL163C	SSD	24.28	1
YBR098W	YIL036W	SSD	9.94	0
YBR105C	YGR066C	SSD	21.56	1
YBR126C	YML100W	SSD	15.6	0
YBR136W	YJR066W	SSD	12.0	0
YBR146W	YMR143W	SSD	16.15	0
YBR151W	YML050W	SSD	12.5	0
YBR162C	YJL171C	SSD	23.85	0
YBR165W	YDL167C	SSD	9.04	0
YBR168W	YLR324W	SSD	13.34	1
YBR184W	YBR148W	SSD	10.62	0
YBR201W	YDR411C	SSD	11.66	0
YBR207W	YER145C	SSD	26.25	1
YBR211C	YJL098W	SSD	5.58	0
YBR215W	YNL167C	SSD	12.23	0
YBR219C	YBR220C	SSD	17.09	1
YBR236C	YML008C	SSD	12.39	0
YBR244W	YIR037W	SSD	73.17	1
YBR249C	YDR035W	SSD	59.42	1
YBR251W	YGL123W	SSD	14.67	0
YBR263W	YLR058C	SSD	55.98	1
YBR276C	YNL128W	SSD	7.49	0
YBR281C	YFR044C	SSD	14.07	1
YBR283C	YLR378C	SSD	31.25	1
YBR287W	YOR092W	SSD	10.3	0
YBR289W	YLR321C	SSD	9.42	0
YCL026C-A	YCL026C-B	SSD	58.55	1
YCL057W	YKL134C	SSD	18.38	1
YCL059C	YOR145C	SSD	13.03	0
YCL068C	YCR038C	SSD	40.19	1
YCR004C	YDR032C	SSD	54.66	1
YCR009C	YDR388W	SSD	13.17	1
YCR018C	YPL021W	SSD	25.99	0
YCR021C	YDR033W	SSD	28.45	1
YCR023C	YBR241C	SSD	9.55	0
YCR036W	YJR105W	SSD	17.66	1
YCR040W	YCL066W	SSD	100.0	1
YCR045C	YEL060C	SSD	20.66	1
YCR059C	YDL177C	SSD	14.68	1
YCR061W	YNL237W	SSD	10.16	0
YCR083W	YLR043C	SSD	35.94	1
YCR097W	YGL096W	SSD	8.66	0
YCR105W	YMR318C	SSD	63.43	1
YCR106W	YLL054C	SSD	27.24	0
YDL002C	YMR072W	SSD	12.0	0
YDL007W	YDR394W	SSD	41.16	1
YDL018C	YAL007C	SSD	22.88	1
YDL030W	YLR074C	SSD	5.09	0
YDL049C	YJL174W	SSD	43.73	1
YDL055C	YDR211W	SSD	10.68	1
YDL059C	YML032C	SSD	9.94	1
YDL060W	YPL217C	SSD	12.35	0
YDL063C	YBL101C	SSD	7.94	0
YDL066W	YLR174W	SSD	70.0	1
YDL072C	YKL065C	SSD	18.55	0
YDL081C	YDL130W	SSD	51.4	1
YDL091C	YML013W	SSD	11.92	0
YDL104C	YKR038C	SSD	20.32	1
YDL106C	YDR451C	SSD	6.64	0
YDL113C	YDR425W	SSD	17.79	1
YDL125C	YDR305C	SSD	15.95	1
YDL128W	YNL321W	SSD	10.25	0
YDL142C	YPR113W	SSD	14.72	0
YDL164C	YOR005C	SSD	11.46	1
YDL170W	YDR213W	SSD	6.95	0
YDL171C	YDR376W	SSD	5.52	0
YDL185W	YDL227C	SSD	6.93	1
YDL206W	YJR106W	SSD	14.52	0
YDR017C	YDR173C	SSD	6.69	0
YDR022C	YER089C	SSD	7.69	0
YDR023W	YHR011W	SSD	22.04	1
YDR034C-C	YLR410W-A	SSD	98.86	1
YDR045C	YGL070C	SSD	21.6	0
YDR060W	YPR144C	SSD	10.05	0
YDR072C	YKL004W	SSD	15.61	0
YDR074W	YMR261C	SSD	17.47	1
YDR089W	YPL019C	SSD	11.97	0
YDR090C	YBR147W	SSD	11.34	0
YDR103W	YJL157C	SSD	12.55	0
YDR109C	YNL249C	SSD	20.27	1
YDR131C	YJL149W	SSD	18.34	1
YDR155C	YML078W	SSD	62.64	1
YDR169C	YBR270C	SSD	11.38	0
YDR182W	YIL039W	SSD	12.13	0
YDR182W-A	YMR034C	SSD	8.16	1
YDR190C	YPL235W	SSD	38.16	1
YDR191W	YOR025W	SSD	20.04	1
YDR192C	YKL068W	SSD	9.27	0
YDR197W	YHR063C	SSD	19.02	1
YDR205W	YMR243C	SSD	10.75	0
YDR210W-A	YOR343W-A	SSD	98.86	1
YDR214W	YNL281W	SSD	16.48	1
YDR235W	YML046W	SSD	11.01	1
YDR243C	YPL119C	SSD	22.37	1
YDR244W	YMR018W	SSD	21.17	1
YDR245W	YJL183W	SSD	11.02	1
YDR256C	YGR088W	SSD	36.66	0
YDR258C	YLL026W	SSD	36.4	1
YDR265W	YLR427W	SSD	6.38	0
YDR276C	YDL123W	SSD	13.57	0
YDR283C	YPR033C	SSD	6.76	0
YDR284C	YDR503C	SSD	21.14	1
YDR292C	YPR088C	SSD	8.18	1
YDR294C	YMR250W	SSD	13.28	1
YDR314C	YER162C	SSD	12.46	0
YDR319C	YGL126W	SSD	13.81	0
YDR338C	YHR032W	SSD	27.03	1
YDR339C	YOR004W	SSD	12.46	1
YDR346C	YDR222W	SSD	19.22	1
YDR347W	YJR101W	SSD	15.2	1
YDR352W	YOL092W	SSD	20.34	1
YDR373W	YKL190W	SSD	29.53	1
YDR381W	YKL214C	SSD	15.58	0
YDR382W	YOL039W	SSD	60.91	0
YDR384C	YNR002C	SSD	30.18	1
YDR391C	YOR012W	SSD	19.07	1
YDR399W	YJR133W	SSD	52.65	1
YDR404C	YKL144C	SSD	19.16	1
YDR430C	YOL098C	SSD	14.76	1
YDR432W	YCL011C	SSD	14.06	0
YDR435C	YOL141W	SSD	10.86	1
YDR444W	YDL109C	SSD	23.58	1
YDR461W	YNL145W	SSD	71.05	1
