Duplication,pair,P1,P2,n.rep_HET_P1P2,n.rep_HET_P2P1,n.rep_HM_P1,n.rep_HM_P2,med_MTX_HET_P1P2,med_MTX_HET_P2P1,med_MTX_HM_P1,med_MTX_HM_P2,HET_P1P2,HET_P2P1,HET.PCA,HM1.PCA,HM2.PCA,nbHET.inter,nbHM.inter,motif_categories_PCA,motif_number_PCA,HM1bg,timesrep.bg.HM1,list.bg.HM1(Pubmed.id),at.list.1.direct.HM1,at.list.1.in.vivo.HM1,at.list.1.regul.nat.HM1,at.list.1.H.throughput.HM1,HM2bg,timesrep.bg.HM2,list.bg.HM2(Pubmed.id),at.list.1.direct.HM2,at.list.1.in.vivo.HM2,at.list.1.regul.nat.HM2,at.list.1.H.throughput.HM2,HETbg,timesrep.bg.HET,list.bg.HET(Pubmed.id),at.list.1.direct.HET,at.list.1.in.vivo.HET,at.list.1.regul.nat.HET,at.list.1.H.throughput.HET,intensity_HMP1_Tarassov,intensity_HMP2_Tarassov,intensity_HETP1P2_Tarassov,intensity_HETP2P1_Tarassov,HM1.Stynen,HM2.Stynen,med_MTX_HM_P1_Stynen,med_MTX_HM_P2_Stynen,comp_list.PDB.monomer_P1,comp_list.PDB.monomer_P2,comp_list.PDB.HM1,comp_list.PDB.HM2,comp_list.PDB.HET,HM1.PDB,HM2.PDB,HET.PDB,HM1.Kim,HM2.Kim,HM1bg.S.PDB.Kim,HM2bg.S.PDB.Kim,motif_categories.bg.S.PDB.Kim,motif_number.bg.S.PDB.Kim,HM1.final,HM2.final,HET.final,motif_categories,motif_number,log10_RNAseq_DMSO_P1,log10_RNAseq_MTX_P1,log10_RNAseq_DMSO_P2,log10_RNAseq_MTX_P2,log10_abundance_paxDB_P1,log10_abundance_paxDB_P2,P.HM.Exp.P1,P.HM.Exp.P2,expression_correl_coeff,age_group,pid
SSD,YAL036C.YGR173W,YAL036C,YGR173W,16,18,16,16,6.20945336562895,6.33941008976201,6.3662957179825,6.26666486615292,0,0,0,0,0,0,0,NI,1,0,0,NA,NA,NA,NA,NA,1,1,Affinity Capture-MS(14759368),0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10.9038150340299,11.8671786783771,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,HM,2,0,1,0,HM,2,2.41329976408125,2.4814426285023,2.53019969820308,2.51982799377572,2.24303804868629,2.44715803134222,0.307331096520552,0.316771299807783,0.60511999003356,9,51.8817204301075
SSD,YAL040C.YMR199W,YAL040C,YMR199W,14,15,13,15,6.13777127804336,6.28540221886225,6.08746284125034,6.02236781302845,0,0,0,0,0,0,0,NI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7985766312191,11.6310584653433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NI,1,2.36735592102602,2.24797326636181,2.79098847508882,2.83632411570675,0.152288344383056,0.628388930050311,0.267784725497525,0.418308253439051,0.217602347648998,3,23.728813559322
SSD,YAL042W.YML067C,YAL042W,YML067C,20,20,20,20,8.68822381286987,9.10982533731017,6.99434234338608,9.19352483444651,1,1,1,1,1,2,2,HM&HET,6,0,0,NA,NA,NA,NA,NA,1,2,Affinity Capture-MS(22940862);PCA(18467557),NA,NA,NA,NA,1,5,Affinity Capture-MS(16429126);Affinity Capture-MS(22940862);Affinity Capture-Western(11157978);PCA(16093310);PCA(18467557),1,1,1,1,NA,29485,NA,44622,0,1,6.95414939500066,14.9576992069083,NA,3zlc_1,NA,NA,NA,NA,0,NA,0,0,0,1,HM&HET,5,1,1,1,HM&HET,6,2.37291200297011,2.42975228000241,2.07554696139253,1.9731278535997,1.68304703823885,1.72509452108147,0.296205917683089,0.251514579652353,0.0782353574754762,8,26.7734553775744
SSD,YAR033W.YGL051W,YAR033W,YGL051W,18,15,18,18,6.78135971352466,6.3037807481771,6.66138658822728,6.18968918353563,1,0,1,0,0,1,0,HET,4,1,2,Two-hybrid(11283351);Two-hybrid(18719252),NA,NA,NA,NA,1,2,PCA(16093310);Two-hybrid(18719252),NA,NA,NA,NA,1,3,PCA(16093310);Two-hybrid(10688190);Two-hybrid(18719252),NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,12.4262868752942,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,HM&HET,6,1,1,1,HM&HET,6,0.602059991327962,0,0,0,0.113943352306837,0.187520720836463,0.182859394117589,0.182859394117589,0.645326002320316,1,96.5957446808511
SSD,YAR064W.YHR213W-B,YAR064W,YHR213W-B,12,16,13,18,6.35755200461808,6.2667865406949,6.22881869049588,6.32181537553086,0,0,0,0,0,0,0,NI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7599873787307,11.2274874784165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NI,1,0,0,0,0,1.05690485133647,NA,0.182859394117589,0.182859394117589,NA,NA,98
SSD,YAR066W.YHR214W,YAR066W,YHR214W,4,5,5,5,6.49929521487266,6.39231742277876,6.59991284218713,6.53915881110803,0,0,0,0,0,0,0,NI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6750295855589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NI,1,0,0,0,0,-0.889410289700751,-0.889410289700751,0.182859394117589,0.182859394117589,0.649089898083412,1,100
SSD,YAR071W.YHR215W,YAR071W,YHR215W,4,4,4,5,6.70734261790361,6.70017289826735,6.85108634268277,6.4093909361377,0,0,0,0,0,0,0,NI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5196851215197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NI,1,1,1.46239799789896,1.04139268515823,1.86332286012046,2.4996870826184,2.60638136511061,0.228678560808372,0.24898505398761,0.902046803586819,1,99.5726495726496
SSD,YBL005W.YER184C,YBL005W,YER184C,16,17,18,16,6.23837310196973,6.16992500144231,6.13951506822482,6.29459148351968,0,0,0,0,0,0,0,NI,1,0,0,NA,NA,NA,NA,NA,1,1,Two-hybrid(18719252),1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11.6617121279041,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,HM,2,0,1,0,HM,2,2.0899051114394,2.27646180417324,1.69019608002851,1.83884909073726,0.372912002970107,0.201397124320452,NA,0.248410530084293,0.151567678419334,2,26.1673151750973
SSD,YBL058W.YDR330W,YBL058W,YDR330W,18,17,16,17,6.65821148275179,6.4093909361377,6.39231742277876,6.33985000288462,0,0,0,0,0,0,0,NI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.129029373619,11.3966873475608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NI,1,2.77597433112937,2.67760695272049,2.29446622616159,2.28330122870355,2.02118929906994,1.84323277809801,0.362615281307769,0.271926628371121,0.256413376725882,9,24.3761996161228
SSD,YBL067C.YEL025C,YBL067C,YEL025C,18,18,18,18,6.33985000288462,6.35755200461808,6.34870100375135,6.39883076292688,0,0,0,0,0,0,0,NI,1,1,1,Affinity Capture-MS(22902402),0,1,0,1,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10.974525773144,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,HM,2,1,0,0,HM,2,2.32428245529769,2.47421626407626,2.00432137378264,2.08278537031645,0.803457115648414,0.852479993636856,0.305720377391909,0.255316033425413,0.226696602054927,9,21.7748562037798
SSD,YBL085W.YJL146W,YBL085W,YJL146W,17,17,16,18,6.33985000288462,6.3037807481771,7.22830554978746,6.2667865406949,0,0,0,1,0,0,1,HM,2,1,1,PCA(28751498),1,1,1,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.4212609436102,11.2826776182027,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,HM,2,1,0,0,HM,2,1.93951925261862,1.94448267215017,2.26245108973043,2.3654879848909,1.78816837114117,1.39445168082622,0.250807570201695,0.284059806343835,-0.0270946263920973,2,18.1909547738693
SSD,YBL089W.YIL088C,YBL089W,YIL088C,13,16,15,16,6.4262647547021,6.30273975903083,6.16992500144231,6.38243579536805,0,0,0,0,0,0,0,NI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8347332101459,10.8709317956909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NI,1,1.60205999132796,1.88649072517248,2.16731733474818,2.55022835305509,0.0681858617461616,1.20411998265592,NA,NA,0.0312127024015637,3,33.6594911937378
SSD,YBL103C.YJR060W,YBL103C,YJR060W,14,15,14,15,6.35744471711577,6.39231742277876,6.4262647547021,10.7116669735643,0,0,0,0,1,0,1,HM,2,0,0,NA,NA,NA,NA,NA,1,3,PCA(18467557);PCA(22615397);Reconstituted Complex(9894911),1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,57845,NA,NA,0,1,10.332710466707,15.2454358868082,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,HM,2,0,1,0,HM,2,2.16435285578444,1.96848294855394,2.96331551138611,3.11327469246435,1.00432137378264,2.28555730900777,0.251388115218599,0.525153083772062,0.23197485665797,5,24.5098039215686
SSD,YBR011C.YMR267W,YBR011C,YMR267W,15,15,18,12,6.39231742277876,5.78135971352466,11.0734721539765,5.83289001416474,0,0,0,1,0,0,1,HM,2,1,1,Reconstituted Complex(11854292),NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,1,Affinity Capture-MS(11805826),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5117905543115,NA,NA,NA,1m38_1,NA,NA,1,NA,NA,0,NA,1,0,HM&HET,5,1,0,1,HM&HET,5,4.16657810991965,3.74663419893758,2.50379068305718,2.78958071216443,3.13385812520333,1.00432137378264,0.697535605184666,0.401304503760239,0.223476094747396,NA,44.7129909365559
SSD,YBR059C.YIL095W,YBR059C,YIL095W,13,18,18,14,6.28540221886225,6.14974711950468,6.4093909361377,7.29462074889163,0,0,0,0,1,0,1,HM,2,1,1,Two-hybrid(11283351),1,1,0,1,0,0,NA,NA,NA,NA,NA,1,1,Affinity Capture-MS(11805837),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,HM&HET,5,1,1,1,HM&HET,6,2.49692964807321,2.51587384371168,2.08635983067475,2.08278537031645,1.79098847508882,1.26245108973043,0.315767272204432,0.255316033425413,-0.10610734541961,9,29.0096406660824
SSD,YBR069C.YCL025C,YBR069C,YCL025C,5,5,5,5,7.05528243550119,7.43462822763672,6.65821148275179,11.2888660741658,1,1,1,0,1,2,1,HM&HET,5,1,1,Affinity Capture-Western(24875539),0,1,0,0,1,1,PCA(16093310),NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11.9953577722688,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,HM,3,1,1,0,HM,3,2.30102999566398,1.85733249643127,3.19061179781361,3.88829184535652,1.93449845124357,2.51587384371168,0.248845422462639,0.743057652903919,0.173195740238744,NA,51.7450682852807
SSD,YBR073W.YGL163C,YBR073W,YGL163C,18,18,17,16,6.39139674936668,6.1598360604735,6.35755200461808,6.24792751344359,0,0,0,0,0,0,0,NI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7888552423555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NI,1,1.79239168949825,2.50785587169583,1.89762709129044,2.09342168516224,1.37291200297011,0.416640507338281,0.313782607781505,0.255799325033901,0.258466475654384,9,33.2355816226784
