P1	P2	Duplication	Sequence_identity_pair	Sequence_identity_MSA	Same_phylome
YAL040C	YMR199W	SSD	15.69	13.95	0
YAL041W	YGR070W	SSD	13.83	8.18	0
YAL042W	YML067C	SSD	20.79	17.12	1
YBL032W	YBR233W	SSD	18.53	13.67	1
YBL058W	YDR330W	SSD	18.29	14.01	0
YBL103C	YJR060W	SSD	16.36	11.43	0
YBR003W	YPL069C	SSD	14.84	11.65	0
YBR059C	YIL095W	SSD	21.96	18.03	0
YBR072W	YDR171W	SSD	16.54	12.3	1
YBR098W	YIL036W	SSD	13.95	9.94	0
YBR126C	YML100W	SSD	16.44	15.6	0
YBR136W	YJR066W	SSD	18.64	12	0
YBR165W	YDL167C	SSD	9.74	9.04	0
YBR168W	YLR324W	SSD	17.49	13.34	1
YBR201W	YDR411C	SSD	14.53	11.66	0
YBR211C	YJL098W	SSD	7.94	5.58	0
YBR215W	YNL167C	SSD	15.06	12.23	0
YBR236C	YML008C	SSD	16.04	12.39	0
YBR276C	YNL128W	SSD	12.27	7.49	0
YBR281C	YFR044C	SSD	16.8	14.07	1
YBR289W	YLR321C	SSD	11.29	9.42	0
YCL057W	YKL134C	SSD	23.2	18.38	1
YCL059C	YOR145C	SSD	14.36	13.03	0
YCR009C	YDR388W	SSD	14.91	13.17	1
YCR061W	YNL237W	SSD	15.18	10.16	0
YDL002C	YMR072W	SSD	17.52	12	0
YDL030W	YLR074C	SSD	7.62	5.09	0
YDL055C	YDR211W	SSD	12.76	10.68	1
YDL059C	YML032C	SSD	11.13	9.94	1
YDL060W	YPL217C	SSD	14.4	12.35	0
YDL072C	YKL065C	SSD	21.86	18.55	0
YDL091C	YML013W	SSD	16.87	11.92	0
YDL113C	YDR425W	SSD	20.26	17.79	1
YDL125C	YDR305C	SSD	18.34	15.95	1
YDL142C	YPR113W	SSD	17.12	14.72	0
YDL164C	YOR005C	SSD	14.25	11.46	1
YDL170W	YDR213W	SSD	12.93	6.95	0
YDL185W	YDL227C	SSD	16.45	6.93	1
YDR017C	YDR173C	SSD	8.8	6.69	0
YDR022C	YER089C	SSD	9.64	7.69	0
YDR060W	YPR144C	SSD	13.18	10.05	0
YDR074W	YMR261C	SSD	21.15	17.47	1
YDR089W	YPL019C	SSD	17.61	11.97	0
YDR103W	YJL157C	SSD	14.76	12.55	0
YDR192C	YKL068W	SSD	16.48	9.27	0
YDR197W	YHR063C	SSD	20	19.02	1
YDR214W	YNL281W	SSD	16.62	16.48	1
YDR235W	YML046W	SSD	18.62	11.01	1
YDR245W	YJL183W	SSD	15.89	11.02	1
YDR265W	YLR427W	SSD	10.53	6.38	0
YDR283C	YPR033C	SSD	8.22	6.76	0
YDR292C	YPR088C	SSD	13.41	8.18	1
YDR294C	YMR250W	SSD	16.96	13.28	1
YDR314C	YER162C	SSD	16.37	12.46	0
YDR339C	YOR004W	SSD	13.09	12.46	1
YDR347W	YJR101W	SSD	20.42	15.2	1
YDR381W	YKL214C	SSD	22.59	15.58	0
YDR404C	YKL144C	SSD	19.63	19.16	1
YDR432W	YCL011C	SSD	17.65	14.06	0
YDR435C	YOL141W	SSD	12.45	10.86	1
YDR479C	YHR150W	SSD	17.86	13.66	1
YDR485C	YMR124W	SSD	15.86	9.52	0
YDR520C	YOL089C	SSD	17.09	13.16	0
YDR523C	YHR102W	SSD	16.71	13	1
YEL013W	YNL189W	SSD	18.67	15.93	1
YEL019C	YOR156C	SSD	10.03	5.49	0
YEL025C	YBL067C	SSD	14.6	11.74	0
