P1_ID	P2_ID	HM_P1	HM_P2	HET	Strict_HM_P1	Strict_HM_P2
ENSP00000362659.2	ENSP00000363117.3	1a09_1	NA	NA	NA	NA
ENSP00000362659.2	ENSP00000363116.1	1a09_1	NA	NA	NA	NA
ENSP00000362659.2	ENSP00000363115.3	1a09_1	NA	NA	NA	NA
ENSP00000362659.2	ENSP00000407670.1	1a09_1	NA	NA	NA	NA
ENSP00000362659.2	ENSP00000382126.1	1a09_1	NA	NA	NA	NA
ENSP00000264972.5	ENSP00000364907.4	NA	5t68_1	NA	NA	5t68_1
ENSP00000364907.4	ENSP00000400475.2	5t68_1	NA	NA	5t68_1	NA
ENSP00000457468.2	ENSP00000497767.1	5ky6_1	NA	NA	5ky6_1	NA
ENSP00000363988.4	ENSP00000457468.2	NA	5ky6_1	NA	NA	5ky6_1
ENSP00000457468.2	ENSP00000497990.1	5ky6_1	NA	NA	5ky6_1	NA
ENSP00000457468.2	ENSP00000497731.1	5ky6_1	NA	NA	5ky6_1	NA
ENSP00000457468.2	ENSP00000497216.1	5ky6_1	NA	NA	5ky6_1	NA
ENSP00000457468.2	ENSP00000497985.1	5ky6_1	NA	NA	5ky6_1	NA
ENSP00000457468.2	ENSP00000481363.1	5ky6_1	NA	NA	5ky6_1	NA
ENSP00000378729.3	ENSP00000457468.2	NA	5ky6_1	NA	NA	5ky6_1
ENSP00000378731.2	ENSP00000457468.2	1xfb_1	5ky6_1	NA	1xfb_1	5ky6_1
ENSP00000226253.4	ENSP00000457468.2	NA	5ky6_1	NA	NA	5ky6_1
ENSP00000457468.2	ENSP00000463174.2	5ky6_1	NA	NA	5ky6_1	NA
ENSP00000457468.2	ENSP00000462674.1	5ky6_1	NA	NA	5ky6_1	NA
ENSP00000457468.2	ENSP00000465623.1	5ky6_1	NA	NA	5ky6_1	NA
ENSP00000398976.1	ENSP00000457468.2	NA	5ky6_1	NA	NA	5ky6_1
ENSP00000457468.2	ENSP00000463118.1	5ky6_1	NA	NA	5ky6_1	NA
ENSP00000321584.4	ENSP00000420756.1	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000321584.4	ENSP00000418742.1	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000321584.4	ENSP00000399400.2	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000321584.4	ENSP00000345096.6	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000321584.4	ENSP00000420803.1	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000321584.4	ENSP00000346219.5	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000265385.8	ENSP00000321584.4	NA	1nf7_1	NA	NA	1nf7_1
ENSP00000321584.4	ENSP00000417296.1	1nf7_1	NA	NA	1nf7_1	NA
ENSP00000321584.4	ENSP00000496892.1	1nf7_1	NA	NA	1nf7_1	NA
