YAL001C	YMR192W
YAL002W	YIL149C
YAL005C	YLL024C
YAL012W	YGL184C
YAL014C	YGL212W
YAL016W	YGL195W
YAL019W	YFR038W
YAL020C	YGL097W
YAL021C	YOL042W
YAL024C	YDL058W
YAL026C	YDR093W
YAL035W	YOL023W
YAL036C	YGR173W
YAL039C	YKL087C
YAL040C	YMR199W
YAL041W	YGR070W
YAL042W	YML067C
YAL044W-A	YAL046C
YAL047C	YKR095W
YAL048C	YNL098C
YAL054C	YLR153C
YAL060W	YAL061W
YAL063C	YAR050W
YAL064C-A	YHR213W
YAL065C	YAL063C
YAL067C	YGR065C
YAL067W-A	YGL260W
YAR002W	YOR098C
YAR003W	YCR057C
YAR009C	YPL257W-B
YAR018C	YPL153C
YAR019C	YJL095W
YAR023C	YAR027W
YAR027W	YAR028W
YAR029W	YAR031W
YAR031W	YGL053W
YAR033W	YGL051W
YAR035W	YER024W
YAR064W	YHR213W-B
YAR071W	YHR215W
YAR073W	YHR216W
YAR075W	YHR216W
YBL002W	YDR224C
YBL003C	YDR225W
YBL005W-A	YMR046C
YBL005W-B	YMR045C
YBL007C	YIR006C
YBL008W	YOR038C
YBL011W	YKR067W
YBL016W	YGR040W
YBL017C	YJL222W
YBL021C	YDR397C
YBL023C	YPR019W
YBL024W	YNL061W
YBL026W	YGR074W
YBL031W	YGL021W
YBL032W	YBR233W
YBL034C	YBR102C
YBL037W	YPL195W
YBL041W	YER094C
YBL042C	YBR021W
YBL045C	YLR163C
YBL047C	YFR016C
YBL051C	YNL016W
YBL052C	YOR244W
YBL058W	YDR330W
YBL060W	YDR170C
YBL063W	YEL061C
YBL064C	YML028W
YBL066C	YLR451W
YBL076C	YGR094W
YBL084C	YOL145C
YBL086C	YOL105C
YBL088C	YKL203C
YBL091C	YLR244C
YBL097W	YGR116W
YBL099W	YJR121W
YBL100W-A	YDR261W-A
YBL100W-B	YLR410W-B
YBL103C	YJR060W
YBL105C	YMR104C
YBL111C	YML133C
YBL112C	YJL225C
YBL113C	YHR219W
YBR002C	YMR101C
YBR003W	YPL069C
YBR006W	YMR170C
YBR007C	YBL061C
YBR008C	YOR273C
YBR011C	YMR267W
YBR012W-A	YPR158W-A
YBR012W-B	YGR161C-D
YBR015C	YJL186W
YBR017C	YMR308C
YBR019C	YNR071C
YBR021W	YIR028W
YBR023C	YBR038W
YBR025C	YHL014C
YBR028C	YCR091W
YBR030W	YDR257C
YBR033W	YKL038W
YBR034C	YHR209W
YBR038W	YNL192W
YBR040W	YMR279C
YBR041W	YAL054C
YBR043C	YBR180W
YBR044C	YLR259C
YBR045C	YKR092C
YBR046C	YCR102C
YBR055C	YBR112C
YBR056W	YOR190W
YBR057C	YDL058W
YBR058C	YER098W
YBR059C	YIL095W
YBR060C	YDR422C
YBR061C	YCL054W
YBR062C	YLR247C
YBR067C	YOR010C
YBR069C	YCL025C
YBR072W	YDR171W
YBR073W	YGL163C
YBR074W	YBR286W
YBR079C	YDL058W
YBR080C	YLL034C
YBR081C	YGL227W
YBR084W	YGR204W
YBR087W	YJR068W
YBR091C	YHR005C-A
YBR092C	YBR093C
YBR097W	YGR040W
YBR098W	YIL036W
YBR102C	YKR016W
YBR103W	YCR072C
YBR105C	YGR066C
YBR109C	YOR257W
YBR112C	YNL313C
YBR114W	YOR191W
YBR115C	YLR153C
YBR119W	YDL224C
YBR125C	YBL056W
YBR126C	YML100W
YBR127C	YJR121W
YBR130C	YAL047C
YBR132C	YOR348C
YBR136W	YJR066W
YBR138C	YPL016W
YBR139W	YMR297W
YBR142W	YLL008W
YBR143C	YNL001W
YBR145W	YMR303C
YBR146W	YMR143W
YBR148W	YAL047C
YBR149W	YOR120W
YBR151W	YML050W
YBR152W	YER008C
YBR155W	YOR007C
YBR156C	YLR045C
YBR158W	YJR090C
YBR159W	YMR226C
YBR160W	YPL031C
YBR162C	YJL171C
YBR164C	YDL192W
YBR165W	YDL167C
YBR168W	YLR324W
YBR171W	YDL058W
YBR175W	YKR036C
YBR180W	YNL065W
YBR184W	YBR148W
YBR186W	YKL197C
YBR192W	YEL006W
YBR195C	YEL056W
YBR198C	YCR072C
YBR199W	YOR099W
YBR200W	YHR114W
YBR201W	YDR411C
YBR202W	YPR019W
YBR205W	YOR099W
YBR207W	YER145C
YBR208C	YGL062W
YBR211C	YJL098W
YBR212W	YHR086W
YBR215W	YNL167C
YBR219C	YBR220C
YBR222C	YAL054C
YBR234C	YDR267C
YBR236C	YML008C
YBR237W	YNL112W
YBR239C	YJL103C
YBR240C	YDR034C
YBR244W	YIR037W
YBR245C	YOR304W
YBR246W	YDL156W
YBR249C	YDR035W
YBR251W	YGL123W
YBR260C	YOR127W
YBR263W	YLR058C
YBR264C	YKR014C
YBR265W	YMR226C
YBR267W	YLR387C
YBR271W	YNL024C
YBR274W	YGL180W
YBR275C	YLR309C
YBR276C	YNL128W
YBR280C	YGL097W
YBR281C	YFR044C
YBR283C	YLR378C
YBR287W	YOR092W
YBR288C	YHL019C
YBR289W	YLR321C
YBR291C	YJR095W
YBR293W	YMR088C
YBR294W	YLR092W
YBR295W	YDR270W
YBR297W	YPR196W
YBR298C	YJR160C
YBR299W	YGR292W
YBR301W	YGR294W
YCL001W-A	YNL001W
YCL014W	YLR106C
YCL018W	YIL094C
YCL019W	YGR161W-B
YCL020W	YGR161W-A
YCL026C-A	YCL026C-B
YCL029C	YDL058W
YCL031C	YPL020C
YCL039W	YCR057C
YCL057W	YKL134C
YCL059C	YOR145C
YCL061C	YNR044W
YCL063W	YNL091W
YCL064C	YKL218C
YCL068C	YCR038C
YCR002C	YHR107C
